"소재지(시군구)별(1)",소재지(시군구)별(2),2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"소재지(시군구)별(1)",소재지(시군구)별(2),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%)
"소재지(시군구)별(1)",소재지(시군구)별(2),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100)
"전국",소계,51829023,47570964,4258059,47200100,4628923,91.78,91.07,51638809,47402647,4236162,47102625,4536184,91.80,91.22,51439038,47294436,4144602,46959220,4479818,91.94,91.29,51325329,47275100,4050229,46877443,4447886,92.11,91.33,51217221,47146348,4070873,46827382,4389839,92.05,91.43
"서울특별시",소계,9668465,9668465,-,9668465,-,100.00,100.00,9509458,9509458,-,9509458,-,100.00,100.00,9428372,9428372,-,9428372,-,100.00,100.00,9386034,9386034,-,9386034,-,100.00,100.00,9331828,9331828,0,9331828,0,100.00,100.00
"서울특별시",종로구,149384,149384,0,149384,0,100.00,100.00,144683,144683,0,144683,0,100.00,100.00,141379,141379,0,141379,0,100.00,100.00,139417,139417,0,139417,0,100.00,100.00,138336,138336,0,138336,0,100.00,100.00
"서울특별시",중구,125240,125240,0,125240,0,100.00,100.00,122499,122499,0,122499,0,100.00,100.00,120437,120437,0,120437,0,100.00,100.00,121312,121312,0,121312,0,100.00,100.00,120544,120544,0,120544,0,100.00,100.00
"서울특별시",용산구,230040,230040,0,230040,0,100.00,100.00,222953,222953,0,222953,0,100.00,100.00,218650,218650,0,218650,0,100.00,100.00,213151,213151,0,213151,0,100.00,100.00,203854,203854,0,203854,0,100.00,100.00
"서울특별시",성동구,293556,293556,0,293556,0,100.00,100.00,285990,285990,0,285990,0,100.00,100.00,281000,281000,0,281000,0,100.00,100.00,277361,277361,0,277361,0,100.00,100.00,273669,273669,0,273669,0,100.00,100.00
"서울특별시",광진구,346682,346682,0,346682,0,100.00,100.00,339996,339996,0,339996,0,100.00,100.00,337416,337416,0,337416,0,100.00,100.00,335554,335554,0,335554,0,100.00,100.00,331963,331963,0,331963,0,100.00,100.00
"서울특별시",동대문구,342837,342837,0,342837,0,100.00,100.00,337400,337400,0,337400,0,100.00,100.00,336644,336644,0,336644,0,100.00,100.00,341149,341149,0,341149,0,100.00,100.00,338735,338735,0,338735,0,100.00,100.00
