기준년도,행정구역코드,통계항목,통계값
2023,11010530,to_in_004,263.4
2023,11010540,to_in_004,378.5
2023,11010550,to_in_004,267.2
2023,11010560,to_in_004,238.8
2023,11010570,to_in_004,148.9
2023,11010580,to_in_004,153.5
2023,11010600,to_in_004,281.1
2023,11010610,to_in_004,562.3
2023,11010630,to_in_004,405.5
2023,11010640,to_in_004,449
2023,11010670,to_in_004,621.4
2023,11010680,to_in_004,574.6
2023,11010690,to_in_004,278.9
2023,11010700,to_in_004,353.1
2023,11010710,to_in_004,528
2023,11010720,to_in_004,200.2
2023,11010730,to_in_004,275.2
2023,11020520,to_in_004,102.5
2023,11020540,to_in_004,498.3
2023,11020550,to_in_004,625.9
2023,11020570,to_in_004,395.8
2023,11020580,to_in_004,358.1
2023,11020590,to_in_004,499.1
2023,11020600,to_in_004,246.2
2023,11020650,to_in_004,274.4
2023,11020670,to_in_004,232.2
2023,11020680,to_in_004,168.2
2023,11020690,to_in_004,457.6
2023,11020700,to_in_004,377
2023,11020710,to_in_004,336
2023,11020720,to_in_004,308.3
2023,11020730,to_in_004,224
2023,11030510,to_in_004,248.1
2023,11030520,to_in_004,436
2023,11030530,to_in_004,617.2
2023,11030570,to_in_004,211.5
2023,11030580,to_in_004,151.8
2023,11030590,to_in_004,250.1
2023,11030630,to_in_004,127.1
2023,11030640,to_in_004,307.8
2023,11030650,to_in_004,353.6
2023,11030660,to_in_004,261.3
2023,11030690,to_in_004,167.9
2023,11030700,to_in_004,444.9
2023,11030710,to_in_004,371.8
2023,11030720,to_in_004,129.8
2023,11030730,to_in_004,173.3
2023,11030740,to_in_004,228.9
2023,11040520,to_in_004,177.8
2023,11040540,to_in_004,264.5
2023,11040550,to_in_004,300.8
2023,11040560,to_in_004,177
2023,11040570,to_in_004,172.9
2023,11040580,to_in_004,157.5
2023,11040590,to_in_004,179.5
2023,11040620,to_in_004,162.5
2023,11040650,to_in_004,203.3
2023,11040660,to_in_004,221.5
2023,11040670,to_in_004,339.9
2023,11040680,to_in_004,292.8
2023,11040690,to_in_004,329.5
2023,11040700,to_in_004,491.5
2023,11040710,to_in_004,153.4
2023,11040720,to_in_004,191.5
2023,11040730,to_in_004,145.8
2023,11050530,to_in_004,524.9
2023,11050540,to_in_004,286.9
2023,11050550,to_in_004,308.6
2023,11050560,to_in_004,245.2
2023,11050570,to_in_004,324.8
2023,11050580,to_in_004,315.5
2023,11050590,to_in_004,247.7
2023,11050600,to_in_004,249.2
2023,11050610,to_in_004,201.6
2023,11050620,to_in_004,181
2023,11050630,to_in_004,83.4
2023,11050640,to_in_004,288.8
2023,11050650,to_in_004,220.4
2023,11050660,to_in_004,155.7
2023,11050670,to_in_004,369.1
2023,11060710,to_in_004,252.3
2023,11060720,to_in_004,215.4
2023,11060730,to_in_004,251.9
2023,11060800,to_in_004,550.7
2023,11060810,to_in_004,226.8
2023,11060820,to_in_004,429
2023,11060830,to_in_004,207.7
2023,11060840,to_in_004,226.4
2023,11060860,to_in_004,254.6
2023,11060870,to_in_004,209.9
2023,11060880,to_in_004,150.4
2023,11060890,to_in_004,322.9
2023,11060900,to_in_004,243.2
2023,11060910,to_in_004,133.5
2023,11070520,to_in_004,311.8
2023,11070540,to_in_004,285.3
2023,11070550,to_in_004,143.5
2023,11070570,to_in_004,301.8
2023,11070590,to_in_004,180.2
2023,11070600,to_in_004,304.4
2023,11070610,to_in_004,271.6
2023,11070620,to_in_004,415.9
2023,11070640,to_in_004,206.3
2023,11070650,to_in_004,315.4
2023,11070680,to_in_004,363.4
2023,11070690,to_in_004,176.5
2023,11070700,to_in_004,273.5
2023,11070710,to_in_004,332.4
2023,11070720,to_in_004,364.2
2023,11070730,to_in_004,213
2023,11080580,to_in_004,279.9
2023,11080590,to_in_004,134.5
2023,11080600,to_in_004,362.9
2023,11080610,to_in_004,197.5
2023,11080620,to_in_004,165
2023,11080630,to_in_004,251.5
2023,11080640,to_in_004,458.5
2023,11080650,to_in_004,251.7
2023,11080660,to_in_004,88
2023,11080680,to_in_004,110.9
2023,11080710,to_in_004,186.4
2023,11080720,to_in_004,278.3
2023,11080760,to_in_004,184.7
2023,11080770,to_in_004,383.9
2023,11080780,to_in_004,104
2023,11080810,to_in_004,295.3
2023,11080820,to_in_004,275.4
2023,11080830,to_in_004,314.6
2023,11080840,to_in_004,198.4
2023,11080850,to_in_004,294.3
2023,11090600,to_in_004,435.3
2023,11090610,to_in_004,484
2023,11090620,to_in_004,410.3
2023,11090630,to_in_004,355.6
2023,11090640,to_in_004,381.1
2023,11090650,to_in_004,497.2
2023,11090690,to_in_004,303.4
2023,11090700,to_in_004,463.8
2023,11090710,to_in_004,290
2023,11090720,to_in_004,497.2
2023,11090730,to_in_004,115.7
2023,11090740,to_in_004,360.6
2023,11090750,to_in_004,369.8
2023,11100510,to_in_004,326.9
2023,11100520,to_in_004,329.5
2023,11100530,to_in_004,327.5
2023,11100540,to_in_004,191
2023,11100550,to_in_004,313.3
2023,11100560,to_in_004,370.5
2023,11100570,to_in_004,216.9
2023,11100590,to_in_004,244.9
2023,11100600,to_in_004,249.9
2023,11100610,to_in_004,327.1
2023,11100620,to_in_004,195.6
2023,11100630,to_in_004,259.5
2023,11100640,to_in_004,569
2023,11100650,to_in_004,360.3
2023,11110510,to_in_004,288
2023,11110520,to_in_004,277.1
2023,11110530,to_in_004,246.1
2023,11110560,to_in_004,130.2
2023,11110580,to_in_004,266.8
2023,11110590,to_in_004,151
2023,11110600,to_in_004,87.1
2023,11110610,to_in_004,63.3
2023,11110640,to_in_004,251.4
2023,11110650,to_in_004,258.6
2023,11110660,to_in_004,287.5
2023,11110690,to_in_004,350.2
2023,11110720,to_in_004,111
2023,11110730,to_in_004,211.7
2023,11110740,to_in_004,162.4
2023,11110760,to_in_004,262
2023,11110770,to_in_004,175.1
2023,11110780,to_in_004,297.7
2023,11110790,to_in_004,275.5
2023,11120510,to_in_004,250.8
2023,11120520,to_in_004,280.9
2023,11120550,to_in_004,351.5
2023,11120560,to_in_004,263.5
2023,11120570,to_in_004,270.9
2023,11120580,to_in_004,347.5
2023,11120590,to_in_004,161.9
2023,11120600,to_in_004,100.7
2023,11120650,to_in_004,266.2
2023,11120660,to_in_004,282.6
2023,11120670,to_in_004,223.2
2023,11120680,to_in_004,132.5
2023,11120710,to_in_004,139.5
2023,11120720,to_in_004,447.7
2023,11120730,to_in_004,459.4
2023,11120740,to_in_004,277.9
2023,11130520,to_in_004,211.9
2023,11130620,to_in_004,220.1
2023,11130640,to_in_004,279.8
2023,11130650,to_in_004,277.6
2023,11130660,to_in_004,249.2
2023,11130680,to_in_004,225.8
2023,11130690,to_in_004,74.6
2023,11130700,to_in_004,144.7
2023,11130710,to_in_004,154.3
2023,11130720,to_in_004,314.4
2023,11130730,to_in_004,226.4
2023,11130740,to_in_004,130.2
2023,11130750,to_in_004,253.2
2023,11130760,to_in_004,280.7
2023,11140590,to_in_004,102.2
2023,11140600,to_in_004,218.9
2023,11140610,to_in_004,98.4
2023,11140630,to_in_004,155.9
2023,11140660,to_in_004,331.3
2023,11140680,to_in_004,291.4
2023,11140690,to_in_004,279.6
2023,11140700,to_in_004,223.9
2023,11140710,to_in_004,334.5
2023,11140720,to_in_004,263.1
2023,11140730,to_in_004,217.4
2023,11140740,to_in_004,113.3
2023,11140750,to_in_004,202.2
2023,11140760,to_in_004,144.8
2023,11140770,to_in_004,219.2
2023,11140780,to_in_004,95.2
2023,11150510,to_in_004,72.8
2023,11150520,to_in_004,206.2
2023,11150530,to_in_004,231.3
2023,11150540,to_in_004,157.9
2023,11150570,to_in_004,372.5
2023,11150580,to_in_004,207.3
2023,11150590,to_in_004,305.7
2023,11150600,to_in_004,195.9
2023,11150610,to_in_004,217.4
2023,11150620,to_in_004,106.3
2023,11150630,to_in_004,366.3
2023,11150640,to_in_004,99.4
2023,11150650,to_in_004,120.9
2023,11150660,to_in_004,156.3
2023,11150690,to_in_004,93.4
2023,11150700,to_in_004,175.1
2023,11150710,to_in_004,80.8
2023,11150720,to_in_004,322.9
2023,11160510,to_in_004,87.8
2023,11160520,to_in_004,185.1
2023,11160530,to_in_004,223.6
2023,11160540,to_in_004,345.6
2023,11160550,to_in_004,216.6
2023,11160570,to_in_004,216.8
2023,11160580,to_in_004,273
2023,11160590,to_in_004,296.4
2023,11160610,to_in_004,269
2023,11160630,to_in_004,302.7
2023,11160650,to_in_004,772.3
2023,11160660,to_in_004,506.6
2023,11160670,to_in_004,116.4
2023,11160690,to_in_004,109.7
2023,11160700,to_in_004,138.4
2023,11160710,to_in_004,326.1
2023,11160730,to_in_004,304.6
2023,11160740,to_in_004,116.1
2023,11160751,to_in_004,170.2
2023,11160761,to_in_004,347.3
2023,11170510,to_in_004,109.9
2023,11170520,to_in_004,121.9
2023,11170540,to_in_004,228.4
2023,11170550,to_in_004,447.4
2023,11170560,to_in_004,260.6
2023,11170610,to_in_004,209.7
2023,11170620,to_in_004,264.4
2023,11170640,to_in_004,277.8
2023,11170650,to_in_004,315.3
2023,11170670,to_in_004,309.5
2023,11170690,to_in_004,255.1
2023,11170700,to_in_004,644.6
2023,11170710,to_in_004,428
2023,11170720,to_in_004,245.9
2023,11170730,to_in_004,180.2
2023,11170740,to_in_004,56.3
2023,11180510,to_in_004,357.2
2023,11180520,to_in_004,157.3
2023,11180530,to_in_004,331.5
2023,11180540,to_in_004,382.9
2023,11180550,to_in_004,344.5
2023,11180570,to_in_004,304.9
2023,11180580,to_in_004,214.6
2023,11180590,to_in_004,365.6
2023,11180600,to_in_004,332.7
2023,11180610,to_in_004,376.1
2023,11190540,to_in_004,180
2023,11190550,to_in_004,257.8
2023,11190560,to_in_004,143.8
2023,11190610,to_in_004,149.7
2023,11190620,to_in_004,142.9
2023,11190630,to_in_004,329.7
2023,11190650,to_in_004,215.9
2023,11190660,to_in_004,218.3
2023,11190670,to_in_004,225.9
2023,11190680,to_in_004,249.3
2023,11190690,to_in_004,102.1
2023,11190700,to_in_004,326.1
2023,11190710,to_in_004,458.8
2023,11190720,to_in_004,336.1
2023,11190730,to_in_004,282.4
2023,11190740,to_in_004,240.6
2023,11190750,to_in_004,293.1
2023,11190760,to_in_004,126.1
2023,11200520,to_in_004,676.7
2023,11200530,to_in_004,224.1
2023,11200540,to_in_004,138.2
2023,11200550,to_in_004,321.8
2023,11200560,to_in_004,273.2
2023,11200630,to_in_004,433.7
2023,11200650,to_in_004,197.4
2023,11200660,to_in_004,354.2
2023,11200670,to_in_004,197.7
2023,11200680,to_in_004,181.3
2023,11200690,to_in_004,205.2
2023,11200700,to_in_004,157.4
2023,11200710,to_in_004,153.8
2023,11200720,to_in_004,273
2023,11200730,to_in_004,244.9
2023,11210520,to_in_004,326.6
2023,11210540,to_in_004,191.3
2023,11210570,to_in_004,342.4
2023,11210580,to_in_004,244.2
2023,11210610,to_in_004,465.3
2023,11210620,to_in_004,303.5
2023,11210630,to_in_004,305.5
2023,11210640,to_in_004,441.3
2023,11210650,to_in_004,492.4
2023,11210660,to_in_004,398.3
2023,11210680,to_in_004,394.2
2023,11210690,to_in_004,573.7
2023,11210710,to_in_004,194.7
2023,11210720,to_in_004,316.8
2023,11210730,to_in_004,370.7
2023,11210780,to_in_004,228.7
2023,11210790,to_in_004,204.5
2023,11210800,to_in_004,309.2
2023,11210810,to_in_004,362.3
2023,11210820,to_in_004,515.9
2023,11210830,to_in_004,290.4
2023,11220510,to_in_004,181.4
2023,11220520,to_in_004,104.8
2023,11220530,to_in_004,213.8
2023,11220540,to_in_004,101.7
2023,11220550,to_in_004,111.1
2023,11220560,to_in_004,237.5
2023,11220570,to_in_004,87.2
2023,11220580,to_in_004,83.3
2023,11220590,to_in_004,103
2023,11220600,to_in_004,125.8
2023,11220610,to_in_004,137.3
2023,11220620,to_in_004,212.5
2023,11220630,to_in_004,245.9
2023,11220640,to_in_004,192.4
2023,11220650,to_in_004,151.1
2023,11220660,to_in_004,154.5
2023,11220670,to_in_004,188
2023,11220680,to_in_004,154.1
2023,11230510,to_in_004,228.4
2023,11230511,to_in_004,204.9
2023,11230520,to_in_004,373.7
2023,11230530,to_in_004,253.6
2023,11230580,to_in_004,222.2
2023,11230590,to_in_004,111.5
2023,11230600,to_in_004,68.2
2023,11230630,to_in_004,163
2023,11230640,to_in_004,299.7
2023,11230650,to_in_004,76.8
2023,11230660,to_in_004,125
2023,11230670,to_in_004,117.8
2023,11230680,to_in_004,218.7
2023,11230710,to_in_004,145.9
2023,11230720,to_in_004,105.9
2023,11230730,to_in_004,357.9
2023,11230750,to_in_004,759.2
2023,11230760,to_in_004,120.8
2023,11230770,to_in_004,192.4
2023,11230780,to_in_004,153.8
2023,11230790,to_in_004,104.3
2023,11230800,to_in_004,87.3
2023,11240510,to_in_004,356.1
2023,11240520,to_in_004,171.2
2023,11240530,to_in_004,309.1
2023,11240540,to_in_004,171.7
2023,11240550,to_in_004,338.8
2023,11240560,to_in_004,435.2
2023,11240570,to_in_004,161.1
2023,11240580,to_in_004,283.9
2023,11240590,to_in_004,149.1
2023,11240600,to_in_004,202.3
2023,11240610,to_in_004,264.6
2023,11240620,to_in_004,153.1
2023,11240630,to_in_004,255.2
2023,11240640,to_in_004,228.3
2023,11240650,to_in_004,213.1
2023,11240660,to_in_004,90.6
2023,11240670,to_in_004,135.4
2023,11240680,to_in_004,193.1
2023,11240690,to_in_004,220.4
2023,11240710,to_in_004,263.1
2023,11240750,to_in_004,85.8
2023,11240770,to_in_004,155.4
2023,11240780,to_in_004,299.1
2023,11240790,to_in_004,63.5
2023,11240800,to_in_004,142.7
2023,11240810,to_in_004,162.8
2023,11240820,to_in_004,38
2023,11250530,to_in_004,144.1
2023,11250540,to_in_004,143.9
2023,11250550,to_in_004,72.3
2023,11250560,to_in_004,97.2
2023,11250580,to_in_004,164.1
2023,11250590,to_in_004,114.7
2023,11250610,to_in_004,306.9
2023,11250630,to_in_004,315.9
2023,11250650,to_in_004,162.8
2023,11250660,to_in_004,369.2
2023,11250670,to_in_004,262.7
2023,11250700,to_in_004,0
2023,11250710,to_in_004,206.4
2023,11250720,to_in_004,233.3
2023,11250730,to_in_004,301.2
2023,11250740,to_in_004,277
2023,11250750,to_in_004,137.7
2023,11250760,to_in_004,71.6
2023,11250770,to_in_004,117.1
2023,21010510,to_in_004,1279.1
2023,21010520,to_in_004,877.2
2023,21010530,to_in_004,730.3
2023,21010540,to_in_004,653
2023,21010560,to_in_004,953.7
2023,21010570,to_in_004,736.6
2023,21010580,to_in_004,1644.4
2023,21010590,to_in_004,564.4
2023,21010600,to_in_004,653.6
2023,21020510,to_in_004,278.5
2023,21020520,to_in_004,623.8
2023,21020530,to_in_004,344.9
2023,21020540,to_in_004,166.3
2023,21020560,to_in_004,213.4
2023,21020570,to_in_004,189.1
2023,21020590,to_in_004,284.1
2023,21020610,to_in_004,1496.1
2023,21020630,to_in_004,1115.9
2023,21020640,to_in_004,457.8
2023,21020650,to_in_004,1058
2023,21020680,to_in_004,302.9
2023,21020690,to_in_004,798.9
2023,21030510,to_in_004,524.2
2023,21030520,to_in_004,791.2
2023,21030530,to_in_004,135.4
2023,21030550,to_in_004,766.1
2023,21030560,to_in_004,428.4
2023,21030570,to_in_004,531.6
2023,21030590,to_in_004,1237.9
2023,21030600,to_in_004,827.7
2023,21030660,to_in_004,381.3
2023,21030680,to_in_004,127
2023,21030700,to_in_004,498.9
2023,21030710,to_in_004,780.3
2023,21040530,to_in_004,702.7
2023,21040540,to_in_004,520.1
2023,21040550,to_in_004,526
2023,21040590,to_in_004,508.6
2023,21040630,to_in_004,422.2
2023,21040640,to_in_004,353.8
2023,21040650,to_in_004,335.9
2023,21040660,to_in_004,211.9
2023,21040670,to_in_004,919.5
2023,21040680,to_in_004,1088.8
2023,21040690,to_in_004,302.8
2023,21050520,to_in_004,163.6
2023,21050540,to_in_004,169.6
2023,21050550,to_in_004,370.7
2023,21050560,to_in_004,290.5
2023,21050570,to_in_004,240.6
2023,21050610,to_in_004,291.1
2023,21050640,to_in_004,167.1
2023,21050660,to_in_004,239.5
2023,21050680,to_in_004,241.1
2023,21050700,to_in_004,280.9
2023,21050720,to_in_004,240.6
2023,21050740,to_in_004,179.5
2023,21050750,to_in_004,338.1
2023,21050760,to_in_004,262.5
2023,21050770,to_in_004,345
2023,21050800,to_in_004,345.1
2023,21050810,to_in_004,411.3
2023,21050820,to_in_004,406.4
2023,21050830,to_in_004,173.8
2023,21050840,to_in_004,278.7
2023,21060510,to_in_004,206.1
2023,21060520,to_in_004,645.3
2023,21060550,to_in_004,227.3
2023,21060560,to_in_004,120.6
2023,21060570,to_in_004,236.4
2023,21060580,to_in_004,211.1
2023,21060590,to_in_004,89.1
2023,21060600,to_in_004,145
2023,21060610,to_in_004,396.4
2023,21060620,to_in_004,221.2
2023,21060630,to_in_004,262.4
2023,21060640,to_in_004,342.4
2023,21060650,to_in_004,92.8
2023,21070530,to_in_004,120.4
2023,21070540,to_in_004,205.1
2023,21070550,to_in_004,259.7
2023,21070560,to_in_004,110.5
2023,21070570,to_in_004,180
2023,21070580,to_in_004,178.3
2023,21070590,to_in_004,585.3
2023,21070600,to_in_004,340.9
2023,21070610,to_in_004,279.9
2023,21070620,to_in_004,335.7
2023,21070630,to_in_004,609.6
2023,21070660,to_in_004,304.3
2023,21070670,to_in_004,455.6
2023,21070680,to_in_004,199.2
2023,21070690,to_in_004,415.4
2023,21070700,to_in_004,593.1
2023,21070710,to_in_004,498.9
2023,21080510,to_in_004,310.1
2023,21080520,to_in_004,303.9
2023,21080530,to_in_004,355.1
2023,21080540,to_in_004,344.5
2023,21080550,to_in_004,96.5
2023,21080560,to_in_004,491.9
2023,21080570,to_in_004,587.1
2023,21080580,to_in_004,478.9
2023,21080590,to_in_004,169.3
2023,21080600,to_in_004,180.5
2023,21080610,to_in_004,287.6
2023,21080620,to_in_004,170.8
2023,21080630,to_in_004,121.8
2023,21090530,to_in_004,149.1
2023,21090540,to_in_004,187.3
2023,21090560,to_in_004,458.7
2023,21090580,to_in_004,590
2023,21090590,to_in_004,825.2
2023,21090620,to_in_004,644.9
2023,21090640,to_in_004,91.1
2023,21090650,to_in_004,318.7
2023,21090660,to_in_004,152.3
2023,21090670,to_in_004,186.1
2023,21090680,to_in_004,205.5
2023,21090690,to_in_004,136.4
2023,21090700,to_in_004,147.1
2023,21090710,to_in_004,162.1
2023,21090720,to_in_004,905.3
2023,21090730,to_in_004,262.8
2023,21090740,to_in_004,144.6
2023,21090750,to_in_004,121.1
2023,21100510,to_in_004,371.7
2023,21100520,to_in_004,253.1
2023,21100530,to_in_004,558.3
2023,21100540,to_in_004,175.4
2023,21100550,to_in_004,292.5
2023,21100560,to_in_004,272.5
2023,21100570,to_in_004,248.7
2023,21100580,to_in_004,288.3
2023,21100590,to_in_004,180.2
2023,21100600,to_in_004,182.1
2023,21100610,to_in_004,211.8
2023,21100620,to_in_004,199.7
2023,21100630,to_in_004,272.9
2023,21100640,to_in_004,120.5
2023,21100650,to_in_004,431.9
2023,21100660,to_in_004,1151.1
2023,21110510,to_in_004,1670.4
2023,21110520,to_in_004,645.7
2023,21110570,to_in_004,703.2
2023,21110580,to_in_004,268.8
2023,21110590,to_in_004,243.7
2023,21110600,to_in_004,535.1
2023,21110610,to_in_004,224.2
2023,21110640,to_in_004,1100
2023,21110670,to_in_004,449.9
2023,21110680,to_in_004,495.6
2023,21110690,to_in_004,196.8
2023,21110700,to_in_004,228.7
2023,21110710,to_in_004,298.9
2023,21110720,to_in_004,741.7
2023,21110730,to_in_004,831.1
2023,21110740,to_in_004,153.3
2023,21120510,to_in_004,989.8
2023,21120520,to_in_004,259.5
2023,21120530,to_in_004,1557.3
2023,21120550,to_in_004,2119.5
2023,21120560,to_in_004,77.8
2023,21120580,to_in_004,664.1
2023,21120590,to_in_004,33.7
2023,21120600,to_in_004,36.8
2023,21130510,to_in_004,151.1
2023,21130520,to_in_004,137.4
2023,21130530,to_in_004,488.5
2023,21130540,to_in_004,263.3
2023,21130550,to_in_004,219.3
2023,21130560,to_in_004,165.2
2023,21130570,to_in_004,240.8
2023,21130580,to_in_004,488.6
2023,21130590,to_in_004,356
2023,21130600,to_in_004,344.9
2023,21130620,to_in_004,184.5
2023,21130630,to_in_004,244.9
2023,21140510,to_in_004,228.9
2023,21140520,to_in_004,195.6
2023,21140530,to_in_004,623.2
2023,21140540,to_in_004,334.5
2023,21140550,to_in_004,322.3
2023,21140560,to_in_004,341
2023,21140570,to_in_004,263.9
2023,21140580,to_in_004,739.1
2023,21140590,to_in_004,268.3
2023,21140600,to_in_004,218.4
2023,21150510,to_in_004,580.7
2023,21150520,to_in_004,304.3
2023,21150540,to_in_004,1213.1
2023,21150550,to_in_004,203.7
2023,21150560,to_in_004,308.1
2023,21150570,to_in_004,320.1
2023,21150600,to_in_004,194.4
2023,21150610,to_in_004,231.9
2023,21150620,to_in_004,311.6
2023,21150630,to_in_004,277.7
2023,21150640,to_in_004,157.7
2023,21150650,to_in_004,541.6
2023,21510110,to_in_004,279.8
2023,21510111,to_in_004,90.5
2023,21510120,to_in_004,462
2023,21510130,to_in_004,62.2
2023,21510330,to_in_004,558.3
2023,22010540,to_in_004,144.7
2023,22010560,to_in_004,465.3
2023,22010590,to_in_004,334.2
2023,22010610,to_in_004,81.9
2023,22010620,to_in_004,150.8
2023,22010640,to_in_004,361.1
2023,22010650,to_in_004,110.6
2023,22010660,to_in_004,225.8
2023,22010670,to_in_004,142.7
2023,22010680,to_in_004,190.5
2023,22010690,to_in_004,153.2
2023,22010700,to_in_004,388.7
2023,22020510,to_in_004,236.4
2023,22020520,to_in_004,160.2
2023,22020530,to_in_004,131.1
2023,22020540,to_in_004,297.5
2023,22020550,to_in_004,313
2023,22020560,to_in_004,392.4
2023,22020580,to_in_004,129.8
2023,22020590,to_in_004,370
2023,22020600,to_in_004,664.6
2023,22020610,to_in_004,339.1
2023,22020620,to_in_004,508.8
2023,22020630,to_in_004,125.7
2023,22020650,to_in_004,474.4
2023,22020660,to_in_004,399.8
2023,22020680,to_in_004,413.9
2023,22020690,to_in_004,443.4
2023,22020710,to_in_004,321
2023,22020730,to_in_004,185.8
2023,22020740,to_in_004,228.6
2023,22020760,to_in_004,95.7
2023,22020770,to_in_004,149.9
2023,22020780,to_in_004,56.4
2023,22030510,to_in_004,291.8
2023,22030520,to_in_004,807
2023,22030530,to_in_004,449
2023,22030540,to_in_004,618.1
2023,22030550,to_in_004,814.7
2023,22030560,to_in_004,542.7
2023,22030570,to_in_004,729.4
2023,22030580,to_in_004,663.7
2023,22030590,to_in_004,527.5
2023,22030600,to_in_004,526.8
2023,22030610,to_in_004,245.3
2023,22030620,to_in_004,457.7
2023,22030630,to_in_004,242.9
2023,22030640,to_in_004,178.3
2023,22030650,to_in_004,285.7
2023,22030660,to_in_004,275.1
2023,22030680,to_in_004,363
2023,22040510,to_in_004,278.5
2023,22040530,to_in_004,575.5
2023,22040540,to_in_004,206.4
2023,22040550,to_in_004,383.9
2023,22040560,to_in_004,396.6
2023,22040570,to_in_004,355.2
2023,22040580,to_in_004,724.3
2023,22040590,to_in_004,538.4
2023,22040600,to_in_004,541.2
2023,22040610,to_in_004,292.2
2023,22040640,to_in_004,395.8
2023,22040650,to_in_004,657.9
2023,22040660,to_in_004,758
2023,22050510,to_in_004,104.4
2023,22050520,to_in_004,141
2023,22050550,to_in_004,501
2023,22050560,to_in_004,87.7
2023,22050570,to_in_004,163.1
2023,22050610,to_in_004,963.8
2023,22050620,to_in_004,292.7
2023,22050630,to_in_004,511.2
2023,22050640,to_in_004,512.3
2023,22050650,to_in_004,501.8
2023,22050660,to_in_004,130.8
2023,22050700,to_in_004,546.7
2023,22050710,to_in_004,116.2
2023,22050740,to_in_004,206
2023,22050750,to_in_004,93.6
2023,22050760,to_in_004,208.1
2023,22050770,to_in_004,293.6
2023,22050780,to_in_004,246.8
2023,22050790,to_in_004,116.3
2023,22050810,to_in_004,412.3
2023,22050820,to_in_004,94.9
2023,22050830,to_in_004,81.7
2023,22050840,to_in_004,308
2023,22060510,to_in_004,98.1
2023,22060520,to_in_004,142.3
2023,22060530,to_in_004,54.8
2023,22060540,to_in_004,49.6
2023,22060550,to_in_004,185.2
2023,22060560,to_in_004,267.1
2023,22060570,to_in_004,72.8
2023,22060580,to_in_004,198.8
2023,22060590,to_in_004,134.3
2023,22060600,to_in_004,296.5
2023,22060610,to_in_004,94.5
2023,22060620,to_in_004,202.9
2023,22060630,to_in_004,174.1
2023,22060640,to_in_004,310.1
2023,22060650,to_in_004,260
2023,22060660,to_in_004,165.7
2023,22060670,to_in_004,418.8
2023,22060680,to_in_004,257.9
2023,22060690,to_in_004,824.1
2023,22060700,to_in_004,171.6
2023,22060710,to_in_004,116.9
2023,22060720,to_in_004,135.3
2023,22060730,to_in_004,149.3
2023,22070550,to_in_004,342.2
2023,22070560,to_in_004,110.8
2023,22070570,to_in_004,117.5
2023,22070580,to_in_004,316.1
2023,22070590,to_in_004,176.8
2023,22070600,to_in_004,175.6
2023,22070610,to_in_004,262.8
2023,22070630,to_in_004,613.3
2023,22070650,to_in_004,159
2023,22070660,to_in_004,240.5
2023,22070670,to_in_004,917
2023,22070680,to_in_004,229.3
2023,22070690,to_in_004,430.2
2023,22070700,to_in_004,510
2023,22070710,to_in_004,316.5
2023,22070720,to_in_004,161.4
2023,22070730,to_in_004,160.2
2023,22070740,to_in_004,252.6
2023,22070750,to_in_004,253.5
2023,22070760,to_in_004,419.8
2023,22070770,to_in_004,42.8
2023,22070780,to_in_004,154.9
2023,22070790,to_in_004,23.7
