기준년도,행정구역코드,통계항목,통계값
2023,11010530,to_in_006,11.2
2023,11010540,to_in_006,10.6
2023,11010550,to_in_006,10.4
2023,11010560,to_in_006,13.6
2023,11010570,to_in_006,18.8
2023,11010580,to_in_006,16.1
2023,11010600,to_in_006,10.2
2023,11010610,to_in_006,5.2
2023,11010630,to_in_006,5
2023,11010640,to_in_006,4.5
2023,11010670,to_in_006,4.7
2023,11010680,to_in_006,5
2023,11010690,to_in_006,10
2023,11010700,to_in_006,8
2023,11010710,to_in_006,3.9
2023,11010720,to_in_006,13.7
2023,11010730,to_in_006,5.3
2023,11020520,to_in_006,10.6
2023,11020540,to_in_006,8.4
2023,11020550,to_in_006,5.8
2023,11020570,to_in_006,4.7
2023,11020580,to_in_006,5
2023,11020590,to_in_006,3.8
2023,11020600,to_in_006,6.3
2023,11020650,to_in_006,8.9
2023,11020670,to_in_006,8.7
2023,11020680,to_in_006,14.8
2023,11020690,to_in_006,4.7
2023,11020700,to_in_006,7.6
2023,11020710,to_in_006,11.5
2023,11020720,to_in_006,10.2
2023,11020730,to_in_006,13
2023,11030510,to_in_006,10.3
2023,11030520,to_in_006,6.3
2023,11030530,to_in_006,4.4
2023,11030570,to_in_006,11.9
2023,11030580,to_in_006,13.3
2023,11030590,to_in_006,11
2023,11030630,to_in_006,21.5
2023,11030640,to_in_006,11.1
2023,11030650,to_in_006,6.3
2023,11030660,to_in_006,9.3
2023,11030690,to_in_006,14.6
2023,11030700,to_in_006,6
2023,11030710,to_in_006,5.4
2023,11030720,to_in_006,11.6
2023,11030730,to_in_006,11.4
2023,11030740,to_in_006,11.2
2023,11040520,to_in_006,12.8
2023,11040540,to_in_006,9.4
2023,11040550,to_in_006,3.7
2023,11040560,to_in_006,12.3
2023,11040570,to_in_006,15
2023,11040580,to_in_006,16
2023,11040590,to_in_006,15.4
2023,11040620,to_in_006,16.6
2023,11040650,to_in_006,10.1
2023,11040660,to_in_006,10
2023,11040670,to_in_006,8.1
2023,11040680,to_in_006,8.6
2023,11040690,to_in_006,7.8
2023,11040700,to_in_006,4.9
2023,11040710,to_in_006,14.5
2023,11040720,to_in_006,13.5
2023,11040730,to_in_006,17.4
2023,11050530,to_in_006,1.7
2023,11050540,to_in_006,6.2
2023,11050550,to_in_006,7.4
2023,11050560,to_in_006,9.4
2023,11050570,to_in_006,8.1
2023,11050580,to_in_006,8.7
2023,11050590,to_in_006,7.7
2023,11050600,to_in_006,7.5
2023,11050610,to_in_006,12.8
2023,11050620,to_in_006,12.5
2023,11050630,to_in_006,20.9
2023,11050640,to_in_006,7.7
2023,11050650,to_in_006,12
2023,11050660,to_in_006,15.6
2023,11050670,to_in_006,6.7
2023,11060710,to_in_006,4.5
2023,11060720,to_in_006,7.7
2023,11060730,to_in_006,8.9
2023,11060800,to_in_006,8.1
2023,11060810,to_in_006,9.7
