기준년도,행정구역코드,통계항목,통계값
2023,11010530,to_in_003,7236.1
2023,11010540,to_in_003,1431.8
2023,11010550,to_in_003,4019.3
2023,11010560,to_in_003,1842.7
2023,11010570,to_in_003,20466.1
2023,11010580,to_in_003,27031.7
2023,11010600,to_in_003,7086.7
2023,11010610,to_in_003,2858.5
2023,11010630,to_in_003,9833.9
2023,11010640,to_in_003,10237.8
2023,11010670,to_in_003,17362.2
2023,11010680,to_in_003,34047
2023,11010690,to_in_003,29011.6
2023,11010700,to_in_003,24818.6
2023,11010710,to_in_003,29132
2023,11010720,to_in_003,4182.1
2023,11010730,to_in_003,18759.8
2023,11020520,to_in_003,2881
2023,11020540,to_in_003,4786.2
2023,11020550,to_in_003,2741.3
2023,11020570,to_in_003,3800.3
2023,11020580,to_in_003,5955.8
2023,11020590,to_in_003,9566.3
2023,11020600,to_in_003,5353.5
2023,11020650,to_in_003,31872.1
2023,11020670,to_in_003,41130.8
2023,11020680,to_in_003,24131.1
2023,11020690,to_in_003,17385.1
2023,11020700,to_in_003,25482.5
2023,11020710,to_in_003,31969.7
2023,11020720,to_in_003,37086
2023,11020730,to_in_003,29798.2
2023,11030510,to_in_003,18103.6
2023,11030520,to_in_003,4931.1
2023,11030530,to_in_003,5858.6
2023,11030570,to_in_003,18405
2023,11030580,to_in_003,23275.5
2023,11030590,to_in_003,39956.7
2023,11030630,to_in_003,8128.2
2023,11030640,to_in_003,6132.9
2023,11030650,to_in_003,12842.1
2023,11030660,to_in_003,10429.6
2023,11030690,to_in_003,4165.4
2023,11030700,to_in_003,18174.9
2023,11030710,to_in_003,22398
2023,11030720,to_in_003,28395.3
2023,11030730,to_in_003,7261.6
2023,11030740,to_in_003,6147.6
2023,11040520,to_in_003,43270.9
2023,11040540,to_in_003,20911.8
2023,11040550,to_in_003,13664.8
2023,11040560,to_in_003,23506
2023,11040570,to_in_003,48029.6
2023,11040580,to_in_003,25842.2
2023,11040590,to_in_003,31898.7
2023,11040620,to_in_003,16375.3
2023,11040650,to_in_003,8004.5
2023,11040660,to_in_003,12849.4
2023,11040670,to_in_003,12546.7
2023,11040680,to_in_003,9624.2
2023,11040690,to_in_003,14780
2023,11040700,to_in_003,5511.2
2023,11040710,to_in_003,36721.5
2023,11040720,to_in_003,33710.7
2023,11040730,to_in_003,12459.2
2023,11050530,to_in_003,27364.3
2023,11050540,to_in_003,31079.6
2023,11050550,to_in_003,24918.8
2023,11050560,to_in_003,37222.8
2023,11050570,to_in_003,25724.8
2023,11050580,to_in_003,11661.6
2023,11050590,to_in_003,10263.3
2023,11050600,to_in_003,39542.7
2023,11050610,to_in_003,18319
2023,11050620,to_in_003,26059.4
2023,11050630,to_in_003,13814.9
2023,11050640,to_in_003,39390.9
2023,11050650,to_in_003,13967.1
2023,11050660,to_in_003,21907.9
2023,11050670,to_in_003,20790.5
2023,11060710,to_in_003,20294.1
2023,11060720,to_in_003,30765.4
2023,11060730,to_in_003,22371.5
2023,11060800,to_in_003,15523.3
2023,11060810,to_in_003,24197.2
2023,11060820,to_in_003,20991.6
2023,11060830,to_in_003,28623.1
2023,11060840,to_in_003,19193.9
2023,11060860,to_in_003,30748.2
2023,11060870,to_in_003,27463.9
2023,11060880,to_in_003,32347.4
2023,11060890,to_in_003,22093.2
2023,11060900,to_in_003,27041.9
2023,11060910,to_in_003,34875
2023,11070520,to_in_003,30698.9
2023,11070540,to_in_003,21365.2
2023,11070550,to_in_003,20407.6
2023,11070570,to_in_003,16940.1
2023,11070590,to_in_003,26692.9
2023,11070600,to_in_003,29905.8
2023,11070610,to_in_003,28804.9
2023,11070620,to_in_003,23177.1
2023,11070640,to_in_003,26454.5
2023,11070650,to_in_003,26949.7
2023,11070680,to_in_003,16439.7
2023,11070690,to_in_003,14223.1
2023,11070700,to_in_003,21106.3
2023,11070710,to_in_003,38821.7
2023,11070720,to_in_003,15057.7
2023,11070730,to_in_003,11816
2023,11080580,to_in_003,28411.3
2023,11080590,to_in_003,43011.4
2023,11080600,to_in_003,14336.3
2023,11080610,to_in_003,29857.7
2023,11080620,to_in_003,43240.2
2023,11080630,to_in_003,20348.9
2023,11080640,to_in_003,5434.3
2023,11080650,to_in_003,6712.8
2023,11080660,to_in_003,42163.4
2023,11080680,to_in_003,36597.3
2023,11080710,to_in_003,31157.8
2023,11080720,to_in_003,14354.8
2023,11080760,to_in_003,32316.1
2023,11080770,to_in_003,19345.5
2023,11080780,to_in_003,23111.4
2023,11080810,to_in_003,5427.2
2023,11080820,to_in_003,24286.7
2023,11080830,to_in_003,21997.7
2023,11080840,to_in_003,28187.4
2023,11080850,to_in_003,19978.8
2023,11090600,to_in_003,28605.4
2023,11090610,to_in_003,14891.8
2023,11090620,to_in_003,14706.3
2023,11090630,to_in_003,11817.7
2023,11090640,to_in_003,34292.5
2023,11090650,to_in_003,31214.1
2023,11090690,to_in_003,23515.4
2023,11090700,to_in_003,25148.5
2023,11090710,to_in_003,26501.9
2023,11090720,to_in_003,26515
2023,11090730,to_in_003,47618.3
2023,11090740,to_in_003,1818.2
2023,11090750,to_in_003,9469.1
2023,11100510,to_in_003,17944.7
2023,11100520,to_in_003,32571.4
2023,11100530,to_in_003,32181.3
2023,11100540,to_in_003,31557.6
2023,11100550,to_in_003,26088.7
2023,11100560,to_in_003,16585.4
2023,11100570,to_in_003,13018.9
2023,11100590,to_in_003,20693.5
2023,11100600,to_in_003,42210
2023,11100610,to_in_003,19707.3
2023,11100620,to_in_003,22057.4
2023,11100630,to_in_003,33106.8
2023,11100640,to_in_003,2323.7
2023,11100650,to_in_003,22549.2
2023,11110510,to_in_003,19424.7
2023,11110520,to_in_003,12521.5
2023,11110530,to_in_003,24645.9
2023,11110560,to_in_003,6563.2
2023,11110580,to_in_003,16347.2
2023,11110590,to_in_003,41273.6
2023,11110600,to_in_003,10126.3
2023,11110610,to_in_003,40794.7
2023,11110640,to_in_003,12313.4
2023,11110650,to_in_003,6658.9
2023,11110660,to_in_003,30400.8
2023,11110690,to_in_003,24917.4
2023,11110720,to_in_003,31976.1
2023,11110730,to_in_003,26487.6
2023,11110740,to_in_003,21776
2023,11110760,to_in_003,5103
2023,11110770,to_in_003,21055.2
2023,11110780,to_in_003,34496.6
2023,11110790,to_in_003,28566.3
2023,11120510,to_in_003,19621.4
2023,11120520,to_in_003,11525.9
2023,11120550,to_in_003,14804.8
2023,11120560,to_in_003,27134.2
2023,11120570,to_in_003,22084.5
2023,11120580,to_in_003,31357.2
2023,11120590,to_in_003,28716.6
2023,11120600,to_in_003,35119
2023,11120650,to_in_003,31741.2
2023,11120660,to_in_003,17535
2023,11120670,to_in_003,21950.4
2023,11120680,to_in_003,15024.9
2023,11120710,to_in_003,4567.8
2023,11120720,to_in_003,18517.5
2023,11120730,to_in_003,30593.5
2023,11120740,to_in_003,36734.1
2023,11130520,to_in_003,17101.4
2023,11130620,to_in_003,19428.8
2023,11130640,to_in_003,14516.7
2023,11130650,to_in_003,18197
2023,11130660,to_in_003,13383.4
2023,11130680,to_in_003,13768.2
2023,11130690,to_in_003,34218.1
2023,11130700,to_in_003,39281.4
2023,11130710,to_in_003,29321.9
2023,11130720,to_in_003,36665.4
2023,11130730,to_in_003,17678.9
2023,11130740,to_in_003,33430.6
2023,11130750,to_in_003,12383.5
2023,11130760,to_in_003,12401.1
2023,11140590,to_in_003,25937.5
2023,11140600,to_in_003,19447.3
2023,11140610,to_in_003,33320.3
2023,11140630,to_in_003,27706.4
2023,11140660,to_in_003,15265.2
2023,11140680,to_in_003,9302
2023,11140690,to_in_003,16893.3
2023,11140700,to_in_003,25951.5
2023,11140710,to_in_003,22741.6
2023,11140720,to_in_003,21473.9
2023,11140730,to_in_003,19034.8
2023,11140740,to_in_003,3471.4
2023,11140750,to_in_003,31580.9
2023,11140760,to_in_003,17354.5
2023,11140770,to_in_003,34699.1
2023,11140780,to_in_003,36696.2
2023,11150510,to_in_003,20144.3
2023,11150520,to_in_003,27347.3
2023,11150530,to_in_003,38570.8
2023,11150540,to_in_003,41155.9
2023,11150570,to_in_003,30965.4
2023,11150580,to_in_003,33268.3
2023,11150590,to_in_003,15507.2
2023,11150600,to_in_003,36095.3
2023,11150610,to_in_003,21343.8
2023,11150620,to_in_003,30272.6
2023,11150630,to_in_003,14795.8
2023,11150640,to_in_003,25111.6
2023,11150650,to_in_003,34484.2
2023,11150660,to_in_003,17584.7
2023,11150690,to_in_003,24009.8
2023,11150700,to_in_003,22129.6
2023,11150710,to_in_003,21738.5
2023,11150720,to_in_003,31945.3
2023,11160510,to_in_003,23104.7
2023,11160520,to_in_003,37381.4
2023,11160530,to_in_003,20486.7
2023,11160540,to_in_003,26915.9
2023,11160550,to_in_003,33363
2023,11160570,to_in_003,37242.6
2023,11160580,to_in_003,39226.6
2023,11160590,to_in_003,23040
2023,11160610,to_in_003,23289.5
2023,11160630,to_in_003,39163.8
2023,11160650,to_in_003,15812.4
2023,11160660,to_in_003,29221.8
2023,11160670,to_in_003,12059.6
2023,11160690,to_in_003,2711
2023,11160700,to_in_003,27818
2023,11160710,to_in_003,3608.1
2023,11160730,to_in_003,42249.8
2023,11160740,to_in_003,33546.2
2023,11160751,to_in_003,6615.5
2023,11160761,to_in_003,8313.5
2023,11170510,to_in_003,25027.1
2023,11170520,to_in_003,19893.7
2023,11170540,to_in_003,24715.5
2023,11170550,to_in_003,48666.5
2023,11170560,to_in_003,32508.6
2023,11170610,to_in_003,22976.3
2023,11170620,to_in_003,25359.3
2023,11170640,to_in_003,37580.1
2023,11170650,to_in_003,23821.6
2023,11170670,to_in_003,31948.5
2023,11170690,to_in_003,8508.6
2023,11170700,to_in_003,37840.4
2023,11170710,to_in_003,20133.8
2023,11170720,to_in_003,25589.6
2023,11170730,to_in_003,12097.5
2023,11170740,to_in_003,11390.1
2023,11180510,to_in_003,11257.2
2023,11180520,to_in_003,23329.8
2023,11180530,to_in_003,32163.5
2023,11180540,to_in_003,31276.9
2023,11180550,to_in_003,29208.7
2023,11180570,to_in_003,22578.5
2023,11180580,to_in_003,15329.7
2023,11180590,to_in_003,8174
2023,11180600,to_in_003,24375.7
2023,11180610,to_in_003,13331.6
2023,11190540,to_in_003,3633.8
2023,11190550,to_in_003,27686.8
2023,11190560,to_in_003,22591.2
2023,11190610,to_in_003,18314.5
2023,11190620,to_in_003,7699.6
2023,11190630,to_in_003,29007.8
2023,11190650,to_in_003,33363.4
2023,11190660,to_in_003,40417
2023,11190670,to_in_003,23107.9
2023,11190680,to_in_003,29603.6
2023,11190690,to_in_003,29933.8
2023,11190700,to_in_003,35681.1
2023,11190710,to_in_003,39335.6
2023,11190720,to_in_003,29753.9
2023,11190730,to_in_003,27616.9
2023,11190740,to_in_003,22026
2023,11190750,to_in_003,35070.1
2023,11190760,to_in_003,17612.8
2023,11200520,to_in_003,18442.9
2023,11200530,to_in_003,31250.8
2023,11200540,to_in_003,34678.7
2023,11200550,to_in_003,37423.2
2023,11200560,to_in_003,29275.7
2023,11200630,to_in_003,35494.1
2023,11200650,to_in_003,25301.9
2023,11200660,to_in_003,31141.1
2023,11200670,to_in_003,20155.8
2023,11200680,to_in_003,22392.7
2023,11200690,to_in_003,38471.5
2023,11200700,to_in_003,22339.8
2023,11200710,to_in_003,20210.5
2023,11200720,to_in_003,19654.5
2023,11200730,to_in_003,9865.9
2023,11210520,to_in_003,31303.8
2023,11210540,to_in_003,47977
2023,11210570,to_in_003,40411
2023,11210580,to_in_003,9919.4
2023,11210610,to_in_003,39943.5
2023,11210620,to_in_003,23196.5
2023,11210630,to_in_003,5282.5
2023,11210640,to_in_003,35973.8
2023,11210650,to_in_003,33888.8
2023,11210660,to_in_003,25413.7
2023,11210680,to_in_003,39834.2
2023,11210690,to_in_003,43456.6
2023,11210710,to_in_003,17421
2023,11210720,to_in_003,32073.9
2023,11210730,to_in_003,3113.4
2023,11210780,to_in_003,41237.1
2023,11210790,to_in_003,40544.8
2023,11210800,to_in_003,30649.9
2023,11210810,to_in_003,25931
2023,11210820,to_in_003,7409.5
2023,11210830,to_in_003,21630.9
2023,11220510,to_in_003,14274.3
2023,11220520,to_in_003,19784.7
2023,11220530,to_in_003,10059
2023,11220540,to_in_003,32222.4
2023,11220550,to_in_003,14336.3
2023,11220560,to_in_003,112.2
2023,11220570,to_in_003,32551.8
2023,11220580,to_in_003,14253.2
2023,11220590,to_in_003,17747.5
2023,11220600,to_in_003,12286.9
2023,11220610,to_in_003,28064.9
2023,11220620,to_in_003,22604
2023,11220630,to_in_003,8983
2023,11220640,to_in_003,6507.7
2023,11220650,to_in_003,22833.8
2023,11220660,to_in_003,6982.3
2023,11220670,to_in_003,2721.6
2023,11220680,to_in_003,1262
2023,11230510,to_in_003,6873.3
2023,11230511,to_in_003,12309.8
2023,11230520,to_in_003,16338.2
2023,11230530,to_in_003,13425.1
2023,11230580,to_in_003,5838
2023,11230590,to_in_003,23168.8
2023,11230600,to_in_003,27739.6
2023,11230630,to_in_003,25764.2
2023,11230640,to_in_003,14243.3
2023,11230650,to_in_003,30585.5
2023,11230660,to_in_003,18402.4
2023,11230670,to_in_003,30119.9
2023,11230680,to_in_003,4389
2023,11230710,to_in_003,13331.4
2023,11230720,to_in_003,9182.6
2023,11230730,to_in_003,14757.5
2023,11230750,to_in_003,8270.1
2023,11230760,to_in_003,6919.1
2023,11230770,to_in_003,9928.4
2023,11230780,to_in_003,9840.4
2023,11230790,to_in_003,19437.2
2023,11230800,to_in_003,17501.2
2023,11240510,to_in_003,11429.9
2023,11240520,to_in_003,8880.9
2023,11240530,to_in_003,22241.7
2023,11240540,to_in_003,44467.8
2023,11240550,to_in_003,30293.6
2023,11240560,to_in_003,19448.5
2023,11240570,to_in_003,23969
2023,11240580,to_in_003,33653.8
2023,11240590,to_in_003,5623.3
2023,11240600,to_in_003,21751.8
2023,11240610,to_in_003,33106.3
2023,11240620,to_in_003,28168.2
2023,11240630,to_in_003,32051.9
2023,11240640,to_in_003,29744.8
2023,11240650,to_in_003,24265.5
2023,11240660,to_in_003,18860
2023,11240670,to_in_003,32017.4
2023,11240680,to_in_003,30741.5
2023,11240690,to_in_003,12218
2023,11240710,to_in_003,26421.7
2023,11240750,to_in_003,25546.4
2023,11240770,to_in_003,10207.5
2023,11240780,to_in_003,11869.7
2023,11240790,to_in_003,12287.7
2023,11240800,to_in_003,20652.6
2023,11240810,to_in_003,21620.3
2023,11240820,to_in_003,16512.2
2023,11250530,to_in_003,38127.7
2023,11250540,to_in_003,17860.9
2023,11250550,to_in_003,15345.6
2023,11250560,to_in_003,9069.4
2023,11250580,to_in_003,6649.5
2023,11250590,to_in_003,9155.9
2023,11250610,to_in_003,37938.4
2023,11250630,to_in_003,45601.9
2023,11250650,to_in_003,28205.9
2023,11250660,to_in_003,37244.2
2023,11250670,to_in_003,33752.6
2023,11250700,to_in_003,28.5
2023,11250710,to_in_003,15300.3
2023,11250720,to_in_003,44745.8
2023,11250730,to_in_003,18008.5
2023,11250740,to_in_003,26569.2
2023,11250750,to_in_003,14054
2023,11250760,to_in_003,21044.2
2023,11250770,to_in_003,10390.6
2023,21010510,to_in_003,5269.6
2023,21010520,to_in_003,16924.8
2023,21010530,to_in_003,16046.4
2023,21010540,to_in_003,24918.7
2023,21010560,to_in_003,19687.4
2023,21010570,to_in_003,4273.3
2023,21010580,to_in_003,4322
2023,21010590,to_in_003,22110.7
2023,21010600,to_in_003,15228.1
2023,21020510,to_in_003,22747.4
2023,21020520,to_in_003,15062.9
2023,21020530,to_in_003,4992.2
2023,21020540,to_in_003,23162.6
2023,21020560,to_in_003,10507.1
2023,21020570,to_in_003,1839.1
2023,21020590,to_in_003,20019
2023,21020610,to_in_003,8402.1
2023,21020630,to_in_003,8489.2
2023,21020640,to_in_003,26610.7
2023,21020650,to_in_003,9911.6
2023,21020680,to_in_003,4025.5
2023,21020690,to_in_003,12596.8
2023,21030510,to_in_003,20766.9
2023,21030520,to_in_003,15811.8
2023,21030530,to_in_003,7146.3
2023,21030550,to_in_003,4102.6
2023,21030560,to_in_003,18657.6
2023,21030570,to_in_003,9490.9
2023,21030590,to_in_003,5170.8
2023,21030600,to_in_003,6627.9
2023,21030660,to_in_003,8334.3
2023,21030680,to_in_003,6004.7
2023,21030700,to_in_003,18728.2
2023,21030710,to_in_003,10066.1
2023,21040530,to_in_003,13643.4
2023,21040540,to_in_003,20846.9
2023,21040550,to_in_003,10976.5
2023,21040590,to_in_003,20713.9
2023,21040630,to_in_003,6943.2
2023,21040640,to_in_003,9088.1
2023,21040650,to_in_003,8219.8
2023,21040660,to_in_003,2173.9
2023,21040670,to_in_003,9774.2
2023,21040680,to_in_003,6396.6
2023,21040690,to_in_003,10101
2023,21050520,to_in_003,15997.3
2023,21050540,to_in_003,24271.5
2023,21050550,to_in_003,3371.8
2023,21050560,to_in_003,17384
2023,21050570,to_in_003,14550.5
2023,21050610,to_in_003,18343.5
2023,21050640,to_in_003,27648.7
2023,21050660,to_in_003,8780.2
2023,21050680,to_in_003,12707.5
2023,21050700,to_in_003,11032.3
2023,21050720,to_in_003,12377.5
2023,21050740,to_in_003,32075.4
2023,21050750,to_in_003,10856.5
2023,21050760,to_in_003,12892.5
2023,21050770,to_in_003,22534.8
2023,21050800,to_in_003,8894.7
2023,21050810,to_in_003,11613.5
2023,21050820,to_in_003,12141.6
2023,21050830,to_in_003,12386.9
2023,21050840,to_in_003,12157.9
2023,21060510,to_in_003,24668.7
2023,21060520,to_in_003,10490.7
2023,21060550,to_in_003,11743.1
2023,21060560,to_in_003,9590.4
2023,21060570,to_in_003,21504.4
2023,21060580,to_in_003,24447.6
2023,21060590,to_in_003,12785.1
2023,21060600,to_in_003,23670.4
2023,21060610,to_in_003,16336.7
2023,21060620,to_in_003,17655
2023,21060630,to_in_003,14680.3
2023,21060640,to_in_003,15351.2
2023,21060650,to_in_003,18997.5
2023,21070530,to_in_003,8806.3
2023,21070540,to_in_003,12736.5
2023,21070550,to_in_003,13550.9
2023,21070560,to_in_003,21953.1
2023,21070570,to_in_003,27394.9
2023,21070580,to_in_003,9158.9
2023,21070590,to_in_003,5284.2
2023,21070600,to_in_003,4559.6
2023,21070610,to_in_003,2305.6
2023,21070620,to_in_003,2835.1
2023,21070630,to_in_003,12610.6
2023,21070660,to_in_003,10158
2023,21070670,to_in_003,13587.9
2023,21070680,to_in_003,25908.5
2023,21070690,to_in_003,11340.4
2023,21070700,to_in_003,20544.7
2023,21070710,to_in_003,8352
2023,21080510,to_in_003,13353.5
2023,21080520,to_in_003,13846.3
2023,21080530,to_in_003,7265.6
2023,21080540,to_in_003,4371
2023,21080550,to_in_003,7858.5
2023,21080560,to_in_003,8168
2023,21080570,to_in_003,4581.2
2023,21080580,to_in_003,12343
2023,21080590,to_in_003,3276.9
2023,21080600,to_in_003,10727.3
2023,21080610,to_in_003,12068.8
2023,21080620,to_in_003,3343.1
2023,21080630,to_in_003,11255.6
2023,21090530,to_in_003,17443.4
2023,21090540,to_in_003,10024.5
2023,21090560,to_in_003,2149.3
2023,21090580,to_in_003,8834.6
2023,21090590,to_in_003,6113.1
2023,21090620,to_in_003,5351.4
2023,21090640,to_in_003,14351.3
2023,21090650,to_in_003,12347.5
2023,21090660,to_in_003,27082.6
2023,21090670,to_in_003,21558.2
2023,21090680,to_in_003,19881
2023,21090690,to_in_003,3254
2023,21090700,to_in_003,6716.4
2023,21090710,to_in_003,14810.5
2023,21090720,to_in_003,1818.5
2023,21090730,to_in_003,6832.6
2023,21090740,to_in_003,4024.6
2023,21090750,to_in_003,31371.6
2023,21100510,to_in_003,15526.9
2023,21100520,to_in_003,7030.1
2023,21100530,to_in_003,16004.7
2023,21100540,to_in_003,15126.6
2023,21100550,to_in_003,6125.8
2023,21100560,to_in_003,4236.7
2023,21100570,to_in_003,4621.3
2023,21100580,to_in_003,8865.7
2023,21100590,to_in_003,6498.3
2023,21100600,to_in_003,4617.9
2023,21100610,to_in_003,11100.6
2023,21100620,to_in_003,3849
2023,21100630,to_in_003,10673.8
2023,21100640,to_in_003,3528.5
2023,21100650,to_in_003,8303.2
2023,21100660,to_in_003,5727.5
2023,21110510,to_in_003,12850.6
2023,21110520,to_in_003,19338.7
2023,21110570,to_in_003,13094.8
2023,21110580,to_in_003,12872.5
2023,21110590,to_in_003,1823.3
2023,21110600,to_in_003,24118.6
2023,21110610,to_in_003,8477.8
2023,21110640,to_in_003,162.3
2023,21110670,to_in_003,839
2023,21110680,to_in_003,8046
2023,21110690,to_in_003,6817
2023,21110700,to_in_003,8496.3
2023,21110710,to_in_003,106.8
2023,21110720,to_in_003,11092
2023,21110730,to_in_003,1340.6
2023,21110740,to_in_003,8010.5
2023,21120510,to_in_003,316.1
2023,21120520,to_in_003,216.7
2023,21120530,to_in_003,201.8
2023,21120550,to_in_003,107.5
2023,21120560,to_in_003,690.9
2023,21120580,to_in_003,145.8
2023,21120590,to_in_003,4311.6
2023,21120600,to_in_003,7602.5
2023,21130510,to_in_003,21286.6
2023,21130520,to_in_003,6520.1
2023,21130530,to_in_003,17191.4
2023,21130540,to_in_003,18186.3
2023,21130550,to_in_003,20285.7
2023,21130560,to_in_003,17949.5
2023,21130570,to_in_003,12994.9
2023,21130580,to_in_003,18377.5
2023,21130590,to_in_003,23693.1
2023,21130600,to_in_003,11334.5
2023,21130620,to_in_003,17603.7
2023,21130630,to_in_003,21405.5
2023,21140510,to_in_003,13313.7
2023,21140520,to_in_003,25276.6
2023,21140530,to_in_003,18541.7
2023,21140540,to_in_003,13676.6
2023,21140550,to_in_003,12950.4
2023,21140560,to_in_003,26310.7
2023,21140570,to_in_003,27171.8
2023,21140580,to_in_003,16919.4
2023,21140590,to_in_003,8642.2
2023,21140600,to_in_003,17086.3
2023,21150510,to_in_003,837.3
2023,21150520,to_in_003,15003.5
2023,21150540,to_in_003,2816.9
2023,21150550,to_in_003,20609
2023,21150560,to_in_003,7567.4
2023,21150570,to_in_003,7517.3
2023,21150600,to_in_003,12415.2
2023,21150610,to_in_003,10800.1
2023,21150620,to_in_003,10444.3
2023,21150630,to_in_003,4918.8
2023,21150640,to_in_003,4876
2023,21150650,to_in_003,3587.4
2023,21510110,to_in_003,1290.5
2023,21510111,to_in_003,790.7
2023,21510120,to_in_003,175.6
2023,21510130,to_in_003,2081.3
2023,21510330,to_in_003,134.8
2023,22010540,to_in_003,10485.1
2023,22010560,to_in_003,6135.4
2023,22010590,to_in_003,5251.9
2023,22010610,to_in_003,10744.8
2023,22010620,to_in_003,14533.2
2023,22010640,to_in_003,11163.8
2023,22010650,to_in_003,18986.5
2023,22010660,to_in_003,15280.1
2023,22010670,to_in_003,35701.1
2023,22010680,to_in_003,13670.8
2023,22010690,to_in_003,16199.3
2023,22010700,to_in_003,8354.4
2023,22020510,to_in_003,16968.9
2023,22020520,to_in_003,30077.5
2023,22020530,to_in_003,17865.3
2023,22020540,to_in_003,12722.4
2023,22020550,to_in_003,14449.2
2023,22020560,to_in_003,26704.9
2023,22020580,to_in_003,19145
2023,22020590,to_in_003,10089.4
2023,22020600,to_in_003,9328.8
2023,22020610,to_in_003,16838.7
2023,22020620,to_in_003,173.1
2023,22020630,to_in_003,2649.9
2023,22020650,to_in_003,5871.3
2023,22020660,to_in_003,4538.3
2023,22020680,to_in_003,13216.7
2023,22020690,to_in_003,1058.2
2023,22020710,to_in_003,248.5
2023,22020730,to_in_003,11788.2
2023,22020740,to_in_003,989.2
2023,22020760,to_in_003,3489.1
2023,22020770,to_in_003,10352
2023,22020780,to_in_003,1071.3
2023,22030510,to_in_003,17393
2023,22030520,to_in_003,17629.4
2023,22030530,to_in_003,19489.3
2023,22030540,to_in_003,19699.7
2023,22030550,to_in_003,15410.9
2023,22030560,to_in_003,21728.7
2023,22030570,to_in_003,16213.3
2023,22030580,to_in_003,24774.6
2023,22030590,to_in_003,3558.6
2023,22030600,to_in_003,18184.3
2023,22030610,to_in_003,25104.4
2023,22030620,to_in_003,13453.5
2023,22030630,to_in_003,22245.8
2023,22030640,to_in_003,8432
2023,22030650,to_in_003,7884.5
2023,22030660,to_in_003,2849.9
2023,22030680,to_in_003,15087
2023,22040510,to_in_003,11428.8
2023,22040530,to_in_003,15679.1
2023,22040540,to_in_003,3861.5
2023,22040550,to_in_003,5657
2023,22040560,to_in_003,21520.3
2023,22040570,to_in_003,14739.4
2023,22040580,to_in_003,11574
2023,22040590,to_in_003,14104
2023,22040600,to_in_003,6424.2
2023,22040610,to_in_003,6274
2023,22040640,to_in_003,4681.6
2023,22040650,to_in_003,16256.6
2023,22040660,to_in_003,9093.7
2023,22050510,to_in_003,14018.9
2023,22050520,to_in_003,16278.6
2023,22050550,to_in_003,2433.4
2023,22050560,to_in_003,22534.6
