기준년도,행정구역코드,통계항목,통계값
2023,11010530,to_in_001,8377
2023,11010540,to_in_001,2115
2023,11010550,to_in_001,9136
2023,11010560,to_in_001,16475
2023,11010570,to_in_001,7557
2023,11010580,to_in_001,9371
2023,11010600,to_in_001,3824
2023,11010610,to_in_001,6901
2023,11010630,to_in_001,5927
2023,11010640,to_in_001,8004
2023,11010670,to_in_001,5294
2023,11010680,to_in_001,8761
2023,11010690,to_in_001,6286
2023,11010700,to_in_001,5937
2023,11010710,to_in_001,10244
2023,11010720,to_in_001,10742
2023,11010730,to_in_001,21228
2023,11020520,to_in_001,2717
2023,11020540,to_in_001,4294
2023,11020550,to_in_001,2656
2023,11020570,to_in_001,5562
2023,11020580,to_in_001,6058
2023,11020590,to_in_001,7047
2023,11020600,to_in_001,3272
2023,11020650,to_in_001,10182
2023,11020670,to_in_001,13507
2023,11020680,to_in_001,11680
2023,11020690,to_in_001,9293
2023,11020700,to_in_001,13342
2023,11020710,to_in_001,15533
2023,11020720,to_in_001,12695
2023,11020730,to_in_001,9738
2023,11030510,to_in_001,15664
2023,11030520,to_in_001,9715
2023,11030530,to_in_001,6895
2023,11030570,to_in_001,13039
2023,11030580,to_in_001,10375
2023,11030590,to_in_001,11081
2023,11030630,to_in_001,23333
2023,11030640,to_in_001,7388
2023,11030650,to_in_001,7479
2023,11030660,to_in_001,9112
2023,11030690,to_in_001,11726
2023,11030700,to_in_001,12987
2023,11030710,to_in_001,19834
2023,11030720,to_in_001,16714
2023,11030730,to_in_001,20824
2023,11030740,to_in_001,18625
2023,11040520,to_in_001,16103
2023,11040540,to_in_001,21633
2023,11040550,to_in_001,15965
2023,11040560,to_in_001,13472
2023,11040570,to_in_001,21965
2023,11040580,to_in_001,14295
2023,11040590,to_in_001,14198
2023,11040620,to_in_001,13611
2023,11040650,to_in_001,15084
2023,11040660,to_in_001,11942
2023,11040670,to_in_001,14856
2023,11040680,to_in_001,10141
2023,11040690,to_in_001,10071
2023,11040700,to_in_001,13091
2023,11040710,to_in_001,26063
2023,11040720,to_in_001,21262
2023,11040730,to_in_001,23931
2023,11050530,to_in_001,31070
2023,11050540,to_in_001,22920
2023,11050550,to_in_001,15301
2023,11050560,to_in_001,20291
2023,11050570,to_in_001,15471
2023,11050580,to_in_001,26958
2023,11050590,to_in_001,11200
2023,11050600,to_in_001,23510
2023,11050610,to_in_001,25408
2023,11050620,to_in_001,26757
2023,11050630,to_in_001,33044
2023,11050640,to_in_001,22391
2023,11050650,to_in_001,23133
2023,11050660,to_in_001,26191
2023,11050670,to_in_001,24515
2023,11060710,to_in_001,15552
2023,11060720,to_in_001,16041
2023,11060730,to_in_001,24894
2023,11060800,to_in_001,18682
2023,11060810,to_in_001,39131
2023,11060820,to_in_001,24787
2023,11060830,to_in_001,32225
2023,11060840,to_in_001,18749
2023,11060860,to_in_001,26907
2023,11060870,to_in_001,36833
2023,11060880,to_in_001,32214
2023,11060890,to_in_001,22933
2023,11060900,to_in_001,19582
2023,11060910,to_in_001,27469
2023,11070520,to_in_001,23409
2023,11070540,to_in_001,18007
2023,11070550,to_in_001,14375
2023,11070570,to_in_001,20913
2023,11070590,to_in_001,22784
2023,11070600,to_in_001,20244
2023,11070610,to_in_001,18464
2023,11070620,to_in_001,23552
2023,11070640,to_in_001,32737
2023,11070650,to_in_001,18021
2023,11070680,to_in_001,15812
2023,11070690,to_in_001,37020
2023,11070700,to_in_001,19219
2023,11070710,to_in_001,32935
2023,11070720,to_in_001,24296
2023,11070730,to_in_001,34833
2023,11080580,to_in_001,13891
2023,11080590,to_in_001,22284
2023,11080600,to_in_001,19763
2023,11080610,to_in_001,16499
2023,11080620,to_in_001,17800
2023,11080630,to_in_001,22263
2023,11080640,to_in_001,18067
2023,11080650,to_in_001,23953
2023,11080660,to_in_001,33592
2023,11080680,to_in_001,21503
2023,11080710,to_in_001,24962
2023,11080720,to_in_001,19583
2023,11080760,to_in_001,22880
2023,11080770,to_in_001,13136
2023,11080780,to_in_001,15071
2023,11080810,to_in_001,15618
2023,11080820,to_in_001,22478
2023,11080830,to_in_001,15932
2023,11080840,to_in_001,39560
2023,11080850,to_in_001,34039
2023,11090600,to_in_001,17923
2023,11090610,to_in_001,14498
2023,11090620,to_in_001,15888
2023,11090630,to_in_001,19484
2023,11090640,to_in_001,19930
2023,11090650,to_in_001,23257
2023,11090690,to_in_001,21714
2023,11090700,to_in_001,21139
2023,11090710,to_in_001,28489
2023,11090720,to_in_001,24638
2023,11090730,to_in_001,29592
2023,11090740,to_in_001,19236
2023,11090750,to_in_001,28367
2023,11100510,to_in_001,21083
2023,11100520,to_in_001,17614
2023,11100530,to_in_001,16233
2023,11100540,to_in_001,17497
2023,11100550,to_in_001,27134
2023,11100560,to_in_001,18111
2023,11100570,to_in_001,25381
2023,11100590,to_in_001,23204
2023,11100600,to_in_001,27603
2023,11100610,to_in_001,12908
2023,11100620,to_in_001,25119
2023,11100630,to_in_001,23206
2023,11100640,to_in_001,19624
2023,11100650,to_in_001,25214
2023,11110510,to_in_001,22158
2023,11110520,to_in_001,25090
2023,11110530,to_in_001,27931
2023,11110560,to_in_001,45809
2023,11110580,to_in_001,24944
2023,11110590,to_in_001,20622
2023,11110600,to_in_001,22091
2023,11110610,to_in_001,25414
2023,11110640,to_in_001,18693
2023,11110650,to_in_001,35948
2023,11110660,to_in_001,18929
2023,11110690,to_in_001,22578
2023,11110720,to_in_001,21291
2023,11110730,to_in_001,19044
2023,11110740,to_in_001,17608
2023,11110760,to_in_001,26576
2023,11110770,to_in_001,30513
2023,11110780,to_in_001,31681
2023,11110790,to_in_001,36059
2023,11120510,to_in_001,35179
2023,11120520,to_in_001,35991
2023,11120550,to_in_001,14218
2023,11120560,to_in_001,26712
2023,11120570,to_in_001,30670
2023,11120580,to_in_001,26687
2023,11120590,to_in_001,31848
2023,11120600,to_in_001,26504
2023,11120650,to_in_001,25638
2023,11120660,to_in_001,18332
2023,11120670,to_in_001,17717
