기준년도,행정구역코드,통계항목,통계값
2023,11010530,to_ga_001,3937
2023,11010540,to_ga_001,947
2023,11010550,to_ga_001,3721
2023,11010560,to_ga_001,6234
2023,11010570,to_ga_001,2865
2023,11010580,to_ga_001,4036
2023,11010600,to_ga_001,1654
2023,11010610,to_ga_001,3893
2023,11010630,to_ga_001,3091
2023,11010640,to_ga_001,3834
2023,11010670,to_ga_001,2270
2023,11010680,to_ga_001,3490
2023,11010690,to_ga_001,2569
2023,11010700,to_ga_001,2679
2023,11010710,to_ga_001,5892
2023,11010720,to_ga_001,4567
2023,11010730,to_ga_001,8828
2023,11020520,to_ga_001,1098
2023,11020540,to_ga_001,2045
2023,11020550,to_ga_001,1045
2023,11020570,to_ga_001,2154
2023,11020580,to_ga_001,2927
2023,11020590,to_ga_001,3518
2023,11020600,to_ga_001,2011
2023,11020650,to_ga_001,4992
2023,11020670,to_ga_001,6910
2023,11020680,to_ga_001,5274
2023,11020690,to_ga_001,4288
2023,11020700,to_ga_001,6252
2023,11020710,to_ga_001,7257
2023,11020720,to_ga_001,5740
2023,11020730,to_ga_001,3754
2023,11030510,to_ga_001,7284
2023,11030520,to_ga_001,4430
2023,11030530,to_ga_001,4042
2023,11030570,to_ga_001,5845
2023,11030580,to_ga_001,4406
2023,11030590,to_ga_001,5006
2023,11030630,to_ga_001,8410
2023,11030640,to_ga_001,3251
2023,11030650,to_ga_001,3134
2023,11030660,to_ga_001,4208
2023,11030690,to_ga_001,4654
2023,11030700,to_ga_001,6141
2023,11030710,to_ga_001,10318
2023,11030720,to_ga_001,8555
2023,11030730,to_ga_001,10024
2023,11030740,to_ga_001,8614
2023,11040520,to_ga_001,7008
2023,11040540,to_ga_001,9934
2023,11040550,to_ga_001,7626
2023,11040560,to_ga_001,5949
2023,11040570,to_ga_001,8760
2023,11040580,to_ga_001,5500
2023,11040590,to_ga_001,6010
2023,11040620,to_ga_001,5901
2023,11040650,to_ga_001,6931
2023,11040660,to_ga_001,5632
2023,11040670,to_ga_001,7009
2023,11040680,to_ga_001,4636
2023,11040690,to_ga_001,4953
2023,11040700,to_ga_001,6764
2023,11040710,to_ga_001,11417
2023,11040720,to_ga_001,9134
2023,11040730,to_ga_001,9960
2023,11050530,to_ga_001,17849
2023,11050540,to_ga_001,11039
2023,11050550,to_ga_001,7960
2023,11050560,to_ga_001,9729
2023,11050570,to_ga_001,7697
2023,11050580,to_ga_001,11986
2023,11050590,to_ga_001,6142
2023,11050600,to_ga_001,12248
2023,11050610,to_ga_001,10523
2023,11050620,to_ga_001,11221
2023,11050630,to_ga_001,11094
2023,11050640,to_ga_001,10974
2023,11050650,to_ga_001,9970
2023,11050660,to_ga_001,10199
2023,11050670,to_ga_001,9981
2023,11060710,to_ga_001,6608
2023,11060720,to_ga_001,7106
2023,11060730,to_ga_001,11787
2023,11060800,to_ga_001,8842
2023,11060810,to_ga_001,19515
2023,11060820,to_ga_001,11502
2023,11060830,to_ga_001,15050
2023,11060840,to_ga_001,7103
2023,11060860,to_ga_001,11629
2023,11060870,to_ga_001,16597
2023,11060880,to_ga_001,13154
2023,11060890,to_ga_001,10311
2023,11060900,to_ga_001,8232
2023,11060910,to_ga_001,12021
2023,11070520,to_ga_001,11029
2023,11070540,to_ga_001,8031
2023,11070550,to_ga_001,6012
2023,11070570,to_ga_001,9668
2023,11070590,to_ga_001,9450
2023,11070600,to_ga_001,11440
2023,11070610,to_ga_001,8165
