±âÁØ³âµµ,ÇàÁ¤±¸¿ªÄÚµå,Åë°èÇ×¸ñ,Åë°è°ª
2023,11010530,ga_sd_001,726
2023,11010530,ga_sd_002,1247
2023,11010530,ga_sd_003,113
2023,11010530,ga_sd_004,N/A
2023,11010530,ga_sd_005,1707
2023,11010530,ga_sd_006,143
2023,11010540,ga_sd_001,195
2023,11010540,ga_sd_002,321
2023,11010540,ga_sd_003,40
2023,11010540,ga_sd_005,364
2023,11010540,ga_sd_006,27
2023,11010550,ga_sd_001,727
2023,11010550,ga_sd_002,1514
2023,11010550,ga_sd_003,139
2023,11010550,ga_sd_004,N/A
2023,11010550,ga_sd_005,1210
2023,11010550,ga_sd_006,129
2023,11010560,ga_sd_001,1400
2023,11010560,ga_sd_002,2899
2023,11010560,ga_sd_003,330
2023,11010560,ga_sd_004,N/A
2023,11010560,ga_sd_005,1449
2023,11010560,ga_sd_006,155
2023,11010570,ga_sd_001,576
2023,11010570,ga_sd_002,1539
2023,11010570,ga_sd_003,124
2023,11010570,ga_sd_005,586
2023,11010570,ga_sd_006,40
2023,11010580,ga_sd_001,727
2023,11010580,ga_sd_002,1780
2023,11010580,ga_sd_003,106
2023,11010580,ga_sd_005,1321
2023,11010580,ga_sd_006,102
2023,11010600,ga_sd_001,282
2023,11010600,ga_sd_002,600
2023,11010600,ga_sd_003,58
2023,11010600,ga_sd_005,651
2023,11010600,ga_sd_006,63
2023,11010610,ga_sd_001,405
2023,11010610,ga_sd_002,497
2023,11010610,ga_sd_003,48
2023,11010610,ga_sd_005,2762
2023,11010610,ga_sd_006,181
2023,11010630,ga_sd_001,362
2023,11010630,ga_sd_002,596
2023,11010630,ga_sd_003,40
2023,11010630,ga_sd_005,1996
2023,11010630,ga_sd_006,97
2023,11010640,ga_sd_001,458
2023,11010640,ga_sd_002,879
2023,11010640,ga_sd_003,83
2023,11010640,ga_sd_004,N/A
2023,11010640,ga_sd_005,2236
2023,11010640,ga_sd_006,176
2023,11010670,ga_sd_001,341
2023,11010670,ga_sd_002,643
2023,11010670,ga_sd_003,44
2023,11010670,ga_sd_005,1150
2023,11010670,ga_sd_006,92
2023,11010680,ga_sd_001,558
2023,11010680,ga_sd_002,1230
2023,11010680,ga_sd_003,100
2023,11010680,ga_sd_005,1478
2023,11010680,ga_sd_006,124
2023,11010690,ga_sd_001,550
2023,11010690,ga_sd_002,1138
2023,11010690,ga_sd_003,96
2023,11010690,ga_sd_005,721
2023,11010690,ga_sd_006,64
2023,11010700,ga_sd_001,464
2023,11010700,ga_sd_002,906
2023,11010700,ga_sd_003,74
2023,11010700,ga_sd_005,1135
2023,11010700,ga_sd_006,100
2023,11010710,ga_sd_001,622
2023,11010710,ga_sd_002,1068
2023,11010710,ga_sd_003,74
2023,11010710,ga_sd_005,3886
2023,11010710,ga_sd_006,242
2023,11010720,ga_sd_001,797
2023,11010720,ga_sd_002,1959
2023,11010720,ga_sd_003,194
2023,11010720,ga_sd_005,1497
2023,11010720,ga_sd_006,120
2023,11010730,ga_sd_001,952
2023,11010730,ga_sd_002,2122
2023,11010730,ga_sd_003,216
2023,11010730,ga_sd_004,N/A
2023,11010730,ga_sd_005,5185
2023,11010730,ga_sd_006,351
2023,11020520,ga_sd_001,167
2023,11020520,ga_sd_002,274
2023,11020520,ga_sd_003,8
2023,11020520,ga_sd_005,619
2023,11020520,ga_sd_006,30
2023,11020540,ga_sd_001,355
2023,11020540,ga_sd_002,543
2023,11020540,ga_sd_003,58
2023,11020540,ga_sd_004,N/A
2023,11020540,ga_sd_005,1016
2023,11020540,ga_sd_006,72
2023,11020550,ga_sd_001,170
2023,11020550,ga_sd_002,212
2023,11020550,ga_sd_003,19
2023,11020550,ga_sd_004,N/A
2023,11020550,ga_sd_005,609
2023,11020550,ga_sd_006,33
2023,11020570,ga_sd_001,286
2023,11020570,ga_sd_002,413
2023,11020570,ga_sd_003,53
2023,11020570,ga_sd_005,1307
2023,11020570,ga_sd_006,95
2023,11020580,ga_sd_001,292
2023,11020580,ga_sd_002,536
2023,11020580,ga_sd_003,43
2023,11020580,ga_sd_005,1816
2023,11020580,ga_sd_006,240
2023,11020590,ga_sd_001,420
2023,11020590,ga_sd_002,533
2023,11020590,ga_sd_003,39
2023,11020590,ga_sd_005,2378
2023,11020590,ga_sd_006,148
2023,11020600,ga_sd_001,264
2023,11020600,ga_sd_002,259
2023,11020600,ga_sd_003,5
2023,11020600,ga_sd_005,1376
2023,11020600,ga_sd_006,107
2023,11020650,ga_sd_001,764
2023,11020650,ga_sd_002,1507
2023,11020650,ga_sd_003,152
2023,11020650,ga_sd_005,2381
2023,11020650,ga_sd_006,188
2023,11020670,ga_sd_001,1028
2023,11020670,ga_sd_002,1653
2023,11020670,ga_sd_003,147
2023,11020670,ga_sd_005,3760
2023,11020670,ga_sd_006,322
2023,11020680,ga_sd_001,923
2023,11020680,ga_sd_002,1972
2023,11020680,ga_sd_003,160
2023,11020680,ga_sd_004,N/A
2023,11020680,ga_sd_005,2053
2023,11020680,ga_sd_006,165
2023,11020690,ga_sd_001,549
2023,11020690,ga_sd_002,868
