기준년도,행정구역코드,통계항목,통계값
2023,11010530,ho_yr_014,5
2023,11010530,ho_yr_013,N/A
2023,11010530,ho_yr_012,16
2023,11010530,ho_yr_011,6
2023,11010530,ho_yr_010,N/A
2023,11010530,ho_yr_009,N/A
2023,11010530,ho_yr_008,N/A
2023,11010530,ho_yr_007,9
2023,11010530,ho_yr_006,6
2023,11010530,ho_yr_005,822
2023,11010530,ho_yr_004,710
2023,11010530,ho_yr_003,233
2023,11010530,ho_yr_002,219
2023,11010530,ho_yr_001,429
2023,11010530,ho_yr_015,19
2023,11010530,ho_yr_016,65
2023,11010530,ho_yr_017,N/A
2023,11010530,ho_yr_018,9
2023,11010530,ho_yr_019,5
2023,11010540,ho_yr_014,N/A
2023,11010540,ho_yr_013,N/A
2023,11010540,ho_yr_011,N/A
2023,11010540,ho_yr_009,N/A
2023,11010540,ho_yr_008,N/A
2023,11010540,ho_yr_007,N/A
2023,11010540,ho_yr_006,N/A
2023,11010540,ho_yr_005,15
2023,11010540,ho_yr_004,51
2023,11010540,ho_yr_003,103
2023,11010540,ho_yr_002,26
2023,11010540,ho_yr_001,436
2023,11010540,ho_yr_016,N/A
2023,11010540,ho_yr_018,N/A
2023,11010540,ho_yr_019,N/A
2023,11010550,ho_yr_014,34
2023,11010550,ho_yr_013,41
2023,11010550,ho_yr_012,21
2023,11010550,ho_yr_011,16
2023,11010550,ho_yr_010,28
2023,11010550,ho_yr_009,19
2023,11010550,ho_yr_008,8
2023,11010550,ho_yr_007,27
2023,11010550,ho_yr_006,33
2023,11010550,ho_yr_005,144
2023,11010550,ho_yr_004,386
2023,11010550,ho_yr_003,720
2023,11010550,ho_yr_002,766
2023,11010550,ho_yr_001,531
2023,11010550,ho_yr_015,67
2023,11010550,ho_yr_016,53
2023,11010550,ho_yr_017,19
2023,11010550,ho_yr_018,19
2023,11010550,ho_yr_019,28
2023,11010560,ho_yr_014,25
2023,11010560,ho_yr_013,52
2023,11010560,ho_yr_012,55
2023,11010560,ho_yr_011,32
2023,11010560,ho_yr_010,13
2023,11010560,ho_yr_009,24
2023,11010560,ho_yr_008,30
2023,11010560,ho_yr_007,10
2023,11010560,ho_yr_006,38
2023,11010560,ho_yr_005,362
2023,11010560,ho_yr_004,859
2023,11010560,ho_yr_003,1945
2023,11010560,ho_yr_002,1272
2023,11010560,ho_yr_001,552
2023,11010560,ho_yr_015,62
2023,11010560,ho_yr_016,83
2023,11010560,ho_yr_017,72
2023,11010560,ho_yr_018,17
2023,11010560,ho_yr_019,20
2023,11010570,ho_yr_013,N/A
2023,11010570,ho_yr_011,167
2023,11010570,ho_yr_008,5
2023,11010570,ho_yr_007,16
2023,11010570,ho_yr_005,824
2023,11010570,ho_yr_004,1491
2023,11010570,ho_yr_003,41
2023,11010570,ho_yr_002,58
2023,11010570,ho_yr_001,18
2023,11010570,ho_yr_015,195
2023,11010570,ho_yr_019,N/A
2023,11010580,ho_yr_013,2317
2023,11010580,ho_yr_012,N/A
2023,11010580,ho_yr_011,N/A
2023,11010580,ho_yr_010,14
2023,11010580,ho_yr_008,N/A
2023,11010580,ho_yr_006,N/A
2023,11010580,ho_yr_005,39
2023,11010580,ho_yr_004,491
2023,11010580,ho_yr_003,646
2023,11010580,ho_yr_002,15
2023,11010580,ho_yr_001,148
2023,11010580,ho_yr_015,11
2023,11010580,ho_yr_018,N/A
2023,11010580,ho_yr_019,N/A
2023,11010600,ho_yr_014,N/A
2023,11010600,ho_yr_013,N/A
2023,11010600,ho_yr_012,N/A
2023,11010600,ho_yr_011,N/A
2023,11010600,ho_yr_010,N/A
2023,11010600,ho_yr_009,N/A
2023,11010600,ho_yr_008,N/A
2023,11010600,ho_yr_007,5
2023,11010600,ho_yr_006,N/A
2023,11010600,ho_yr_005,29
2023,11010600,ho_yr_004,204
2023,11010600,ho_yr_003,639
2023,11010600,ho_yr_002,14
2023,11010600,ho_yr_001,413
2023,11010600,ho_yr_016,10
2023,11010600,ho_yr_017,N/A
2023,11010600,ho_yr_018,5
2023,11010600,ho_yr_019,5
2023,11010610,ho_yr_014,7
2023,11010610,ho_yr_013,N/A
2023,11010610,ho_yr_012,N/A
2023,11010610,ho_yr_011,N/A
2023,11010610,ho_yr_010,30
2023,11010610,ho_yr_009,53
2023,11010610,ho_yr_008,N/A
2023,11010610,ho_yr_007,25
2023,11010610,ho_yr_006,5
2023,11010610,ho_yr_005,417
2023,11010610,ho_yr_004,297
2023,11010610,ho_yr_003,108
2023,11010610,ho_yr_002,41
2023,11010610,ho_yr_001,498
2023,11010610,ho_yr_015,N/A
2023,11010610,ho_yr_016,26
2023,11010610,ho_yr_017,N/A
2023,11010610,ho_yr_018,N/A
2023,11010610,ho_yr_019,N/A
2023,11010630,ho_yr_014,8
2023,11010630,ho_yr_013,119
2023,11010630,ho_yr_011,30
2023,11010630,ho_yr_010,N/A
2023,11010630,ho_yr_009,N/A
2023,11010630,ho_yr_008,N/A
2023,11010630,ho_yr_007,75
2023,11010630,ho_yr_005,19
2023,11010630,ho_yr_004,29
2023,11010630,ho_yr_003,223
2023,11010630,ho_yr_002,168
2023,11010630,ho_yr_001,382
2023,11010630,ho_yr_015,97
2023,11010630,ho_yr_016,N/A
2023,11010630,ho_yr_017,109
2023,11010630,ho_yr_018,191
2023,11010630,ho_yr_019,N/A
2023,11010640,ho_yr_014,N/A
2023,11010640,ho_yr_013,17
2023,11010640,ho_yr_012,26
2023,11010640,ho_yr_011,12
2023,11010640,ho_yr_010,160
2023,11010640,ho_yr_009,13
2023,11010640,ho_yr_008,53
2023,11010640,ho_yr_006,16
2023,11010640,ho_yr_005,82
2023,11010640,ho_yr_004,409
2023,11010640,ho_yr_003,1159
2023,11010640,ho_yr_002,259
2023,11010640,ho_yr_001,246
2023,11010640,ho_yr_015,8
2023,11010640,ho_yr_016,9
2023,11010640,ho_yr_017,40
2023,11010640,ho_yr_018,N/A
2023,11010640,ho_yr_019,N/A
2023,11010670,ho_yr_014,N/A
2023,11010670,ho_yr_013,N/A
2023,11010670,ho_yr_012,12
2023,11010670,ho_yr_011,16
2023,11010670,ho_yr_007,N/A
2023,11010670,ho_yr_005,6
2023,11010670,ho_yr_004,46
2023,11010670,ho_yr_003,728
2023,11010670,ho_yr_002,93
2023,11010670,ho_yr_001,535
2023,11010670,ho_yr_015,9
2023,11010670,ho_yr_016,31
2023,11010670,ho_yr_017,49
2023,11010670,ho_yr_018,N/A
2023,11010680,ho_yr_014,5
2023,11010680,ho_yr_013,N/A
2023,11010680,ho_yr_012,15
2023,11010680,ho_yr_011,N/A
2023,11010680,ho_yr_008,N/A
2023,11010680,ho_yr_007,N/A
2023,11010680,ho_yr_005,55
2023,11010680,ho_yr_004,545
2023,11010680,ho_yr_003,1012
2023,11010680,ho_yr_002,216
2023,11010680,ho_yr_001,532
2023,11010680,ho_yr_015,31
2023,11010680,ho_yr_017,N/A
2023,11010680,ho_yr_018,N/A
2023,11010680,ho_yr_019,N/A
2023,11010690,ho_yr_014,N/A
2023,11010690,ho_yr_013,10
2023,11010690,ho_yr_012,N/A
2023,11010690,ho_yr_005,82
2023,11010690,ho_yr_004,133
2023,11010690,ho_yr_003,1560
2023,11010690,ho_yr_002,114
2023,11010690,ho_yr_001,218
2023,11010690,ho_yr_015,N/A
2023,11010690,ho_yr_016,N/A
2023,11010690,ho_yr_017,19
2023,11010690,ho_yr_019,8
2023,11010700,ho_yr_014,19
2023,11010700,ho_yr_013,21
2023,11010700,ho_yr_012,7
2023,11010700,ho_yr_011,51
2023,11010700,ho_yr_010,35
2023,11010700,ho_yr_009,N/A
