기준년도,행정구역코드,통계항목,통계값
2023,11010530,ho_ar_001,27
2023,11010530,ho_ar_002,211
2023,11010530,ho_ar_003,311
2023,11010530,ho_ar_004,286
2023,11010530,ho_ar_005,320
2023,11010530,ho_ar_006,448
2023,11010530,ho_ar_007,756
2023,11010530,ho_ar_008,128
2023,11010530,ho_ar_009,72
2023,11010540,ho_ar_001,13
2023,11010540,ho_ar_002,93
2023,11010540,ho_ar_003,145
2023,11010540,ho_ar_004,99
2023,11010540,ho_ar_005,47
2023,11010540,ho_ar_006,70
2023,11010540,ho_ar_007,56
2023,11010540,ho_ar_008,64
2023,11010540,ho_ar_009,65
2023,11010550,ho_ar_001,13
2023,11010550,ho_ar_002,237
2023,11010550,ho_ar_003,670
2023,11010550,ho_ar_004,897
2023,11010550,ho_ar_005,166
2023,11010550,ho_ar_006,302
2023,11010550,ho_ar_007,189
2023,11010550,ho_ar_008,280
2023,11010550,ho_ar_009,206
2023,11010560,ho_ar_001,10
2023,11010560,ho_ar_002,254
2023,11010560,ho_ar_003,633
2023,11010560,ho_ar_004,1433
2023,11010560,ho_ar_005,201
2023,11010560,ho_ar_006,452
2023,11010560,ho_ar_007,752
2023,11010560,ho_ar_008,842
2023,11010560,ho_ar_009,946
2023,11010570,ho_ar_001,N/A
2023,11010570,ho_ar_002,562
2023,11010570,ho_ar_003,334
2023,11010570,ho_ar_004,1308
2023,11010570,ho_ar_005,6
2023,11010570,ho_ar_006,556
2023,11010570,ho_ar_007,40
2023,11010570,ho_ar_008,5
2023,11010570,ho_ar_009,N/A
2023,11010580,ho_ar_001,55
2023,11010580,ho_ar_002,659
2023,11010580,ho_ar_003,1379
2023,11010580,ho_ar_004,1227
2023,11010580,ho_ar_005,46
2023,11010580,ho_ar_006,234
2023,11010580,ho_ar_007,43
2023,11010580,ho_ar_008,21
2023,11010580,ho_ar_009,26
2023,11010600,ho_ar_001,60
2023,11010600,ho_ar_002,264
2023,11010600,ho_ar_003,576
2023,11010600,ho_ar_004,133
2023,11010600,ho_ar_005,50
2023,11010600,ho_ar_006,76
2023,11010600,ho_ar_007,40
2023,11010600,ho_ar_008,42
2023,11010600,ho_ar_009,105
2023,11010610,ho_ar_001,155
2023,11010610,ho_ar_002,228
2023,11010610,ho_ar_003,385
2023,11010610,ho_ar_004,336
2023,11010610,ho_ar_005,154
2023,11010610,ho_ar_006,143
2023,11010610,ho_ar_007,68
2023,11010610,ho_ar_008,36
2023,11010610,ho_ar_009,18
2023,11010630,ho_ar_001,276
2023,11010630,ho_ar_002,370
2023,11010630,ho_ar_003,133
2023,11010630,ho_ar_004,312
2023,11010630,ho_ar_005,66
2023,11010630,ho_ar_006,96
2023,11010630,ho_ar_007,85
2023,11010630,ho_ar_008,70
2023,11010630,ho_ar_009,47
2023,11010640,ho_ar_001,313
2023,11010640,ho_ar_002,615
2023,11010640,ho_ar_003,808
2023,11010640,ho_ar_004,320
2023,11010640,ho_ar_005,79
2023,11010640,ho_ar_006,82
2023,11010640,ho_ar_007,86
2023,11010640,ho_ar_008,122
2023,11010640,ho_ar_009,90
2023,11010670,ho_ar_001,91
2023,11010670,ho_ar_002,283
2023,11010670,ho_ar_003,568
2023,11010670,ho_ar_004,331
2023,11010670,ho_ar_005,35
2023,11010670,ho_ar_006,63
2023,11010670,ho_ar_007,51
2023,11010670,ho_ar_008,53
2023,11010670,ho_ar_009,57
2023,11010680,ho_ar_001,66
2023,11010680,ho_ar_002,467
2023,11010680,ho_ar_003,1042
2023,11010680,ho_ar_004,275
2023,11010680,ho_ar_005,128
2023,11010680,ho_ar_006,154
2023,11010680,ho_ar_007,108
2023,11010680,ho_ar_008,125
2023,11010680,ho_ar_009,61
2023,11010690,ho_ar_001,8
2023,11010690,ho_ar_002,92
2023,11010690,ho_ar_003,482
2023,11010690,ho_ar_004,1079
2023,11010690,ho_ar_005,20
2023,11010690,ho_ar_006,346
2023,11010690,ho_ar_007,50
2023,11010690,ho_ar_008,46
2023,11010690,ho_ar_009,26
2023,11010700,ho_ar_001,33
2023,11010700,ho_ar_002,248
2023,11010700,ho_ar_003,449
2023,11010700,ho_ar_004,383
2023,11010700,ho_ar_005,30
2023,11010700,ho_ar_006,235
2023,11010700,ho_ar_007,60
2023,11010700,ho_ar_008,79
2023,11010700,ho_ar_009,81
2023,11010710,ho_ar_001,1033
2023,11010710,ho_ar_002,444
2023,11010710,ho_ar_003,967
2023,11010710,ho_ar_004,578
2023,11010710,ho_ar_005,43
2023,11010710,ho_ar_006,94
2023,11010710,ho_ar_007,43
2023,11010710,ho_ar_008,52
2023,11010710,ho_ar_009,40
2023,11010720,ho_ar_001,89
2023,11010720,ho_ar_002,489
2023,11010720,ho_ar_003,1393
2023,11010720,ho_ar_004,829
2023,11010720,ho_ar_005,127
2023,11010720,ho_ar_006,176
2023,11010720,ho_ar_007,243
2023,11010720,ho_ar_008,198
2023,11010720,ho_ar_009,223
2023,11010730,ho_ar_001,442
2023,11010730,ho_ar_002,792
2023,11010730,ho_ar_003,1249
2023,11010730,ho_ar_004,1256
2023,11010730,ho_ar_005,173
2023,11010730,ho_ar_006,338
2023,11010730,ho_ar_007,226
2023,11010730,ho_ar_008,266
2023,11010730,ho_ar_009,333
2023,11020520,ho_ar_001,66
2023,11020520,ho_ar_002,148
2023,11020520,ho_ar_003,154
2023,11020520,ho_ar_004,306
2023,11020520,ho_ar_005,N/A
2023,11020520,ho_ar_006,49
2023,11020520,ho_ar_007,N/A
2023,11020520,ho_ar_008,N/A
2023,11020520,ho_ar_009,8
2023,11020540,ho_ar_001,50
2023,11020540,ho_ar_002,205
2023,11020540,ho_ar_003,164
2023,11020540,ho_ar_004,211
2023,11020540,ho_ar_005,47
2023,11020540,ho_ar_006,272
2023,11020540,ho_ar_007,310
2023,11020540,ho_ar_008,198
2023,11020540,ho_ar_009,37
2023,11020550,ho_ar_001,41
2023,11020550,ho_ar_002,39
2023,11020550,ho_ar_003,46
2023,11020550,ho_ar_004,49
2023,11020550,ho_ar_005,28
2023,11020550,ho_ar_006,27
2023,11020550,ho_ar_007,139
2023,11020550,ho_ar_008,152
2023,11020550,ho_ar_009,49
2023,11020570,ho_ar_001,62
2023,11020570,ho_ar_002,297
2023,11020570,ho_ar_003,292
2023,11020570,ho_ar_004,183
2023,11020570,ho_ar_005,37
2023,11020570,ho_ar_006,101
2023,11020570,ho_ar_007,63
2023,11020570,ho_ar_008,53
2023,11020570,ho_ar_009,76
2023,11020580,ho_ar_001,665
2023,11020580,ho_ar_002,660
2023,11020580,ho_ar_003,577
2023,11020580,ho_ar_004,188
2023,11020580,ho_ar_005,57
2023,11020580,ho_ar_006,77
2023,11020580,ho_ar_007,68
2023,11020580,ho_ar_008,49
2023,11020580,ho_ar_009,107
2023,11020590,ho_ar_001,295
2023,11020590,ho_ar_002,855
2023,11020590,ho_ar_003,295
2023,11020590,ho_ar_004,348
2023,11020590,ho_ar_005,94
2023,11020590,ho_ar_006,213
2023,11020590,ho_ar_007,116
2023,11020590,ho_ar_008,49
2023,11020590,ho_ar_009,26
2023,11020600,ho_ar_001,6
2023,11020600,ho_ar_002,67
2023,11020600,ho_ar_003,934
2023,11020600,ho_ar_004,95
2023,11020600,ho_ar_005,12
2023,11020600,ho_ar_006,8
2023,11020600,ho_ar_007,12
2023,11020600,ho_ar_008,10
2023,11020600,ho_ar_009,17
2023,11020650,ho_ar_001,175
2023,11020650,ho_ar_002,1162
2023,11020650,ho_ar_003,716
2023,11020650,ho_ar_004,746
2023,11020650,ho_ar_005,55
2023,11020650,ho_ar_006,244
2023,11020650,ho_ar_007,109
2023,11020650,ho_ar_008,94
2023,11020650,ho_ar_009,68
2023,11020670,ho_ar_001,263
2023,11020670,ho_ar_002,886
2023,11020670,ho_ar_003,689
2023,11020670,ho_ar_004,1097
2023,11020670,ho_ar_005,90
2023,11020670,ho_ar_006,459
2023,11020670,ho_ar_007,146
2023,11020670,ho_ar_008,65
2023,11020670,ho_ar_009,47
2023,11020680,ho_ar_001,248
2023,11020680,ho_ar_002,800
2023,11020680,ho_ar_003,1016
2023,11020680,ho_ar_004,1585
2023,11020680,ho_ar_005,55
2023,11020680,ho_ar_006,288
2023,11020680,ho_ar_007,53
2023,11020680,ho_ar_008,40
2023,11020680,ho_ar_009,32
2023,11020690,ho_ar_001,332
2023,11020690,ho_ar_002,729
2023,11020690,ho_ar_003,208
2023,11020690,ho_ar_004,258
2023,11020690,ho_ar_005,82
2023,11020690,ho_ar_006,243
2023,11020690,ho_ar_007,228
2023,11020690,ho_ar_008,142
2023,11020690,ho_ar_009,88
2023,11020700,ho_ar_001,122
2023,11020700,ho_ar_002,885
2023,11020700,ho_ar_003,1871
2023,11020700,ho_ar_004,703
2023,11020700,ho_ar_005,112
2023,11020700,ho_ar_006,204
2023,11020700,ho_ar_007,187
2023,11020700,ho_ar_008,229
2023,11020700,ho_ar_009,208
2023,11020710,ho_ar_001,200
2023,11020710,ho_ar_002,2208
2023,11020710,ho_ar_003,1215
2023,11020710,ho_ar_004,1690
2023,11020710,ho_ar_005,57
2023,11020710,ho_ar_006,997
2023,11020710,ho_ar_007,92
2023,11020710,ho_ar_008,30
2023,11020710,ho_ar_009,54
2023,11020720,ho_ar_001,138
2023,11020720,ho_ar_002,1427
2023,11020720,ho_ar_003,997
2023,11020720,ho_ar_004,1315
2023,11020720,ho_ar_005,39
2023,11020720,ho_ar_006,710
2023,11020720,ho_ar_007,73
2023,11020720,ho_ar_008,66
2023,11020720,ho_ar_009,68
2023,11020730,ho_ar_001,N/A
2023,11020730,ho_ar_002,279
2023,11020730,ho_ar_003,320
2023,11020730,ho_ar_004,1593
2023,11020730,ho_ar_005,22
2023,11020730,ho_ar_006,531
2023,11020730,ho_ar_007,266
2023,11020730,ho_ar_008,61
2023,11020730,ho_ar_009,64
2023,11030510,ho_ar_001,162
2023,11030510,ho_ar_002,1149
2023,11030510,ho_ar_003,1245
2023,11030510,ho_ar_004,1451
2023,11030510,ho_ar_005,213
2023,11030510,ho_ar_006,266
2023,11030510,ho_ar_007,250
2023,11030510,ho_ar_008,292
2023,11030510,ho_ar_009,203
2023,11030520,ho_ar_001,92
2023,11030520,ho_ar_002,627
2023,11030520,ho_ar_003,1022
2023,11030520,ho_ar_004,399
2023,11030520,ho_ar_005,82
2023,11030520,ho_ar_006,144
2023,11030520,ho_ar_007,178
2023,11030520,ho_ar_008,275
2023,11030520,ho_ar_009,173
2023,11030530,ho_ar_001,162
2023,11030530,ho_ar_002,232
2023,11030530,ho_ar_003,369
2023,11030530,ho_ar_004,298
2023,11030530,ho_ar_005,67
2023,11030530,ho_ar_006,143
2023,11030530,ho_ar_007,236
2023,11030530,ho_ar_008,90
2023,11030530,ho_ar_009,85
2023,11030570,ho_ar_001,253
2023,11030570,ho_ar_002,1059
2023,11030570,ho_ar_003,1102
2023,11030570,ho_ar_004,1213
2023,11030570,ho_ar_005,184
2023,11030570,ho_ar_006,563
2023,11030570,ho_ar_007,138
2023,11030570,ho_ar_008,167
2023,11030570,ho_ar_009,126
2023,11030580,ho_ar_001,127
2023,11030580,ho_ar_002,770
2023,11030580,ho_ar_003,988
2023,11030580,ho_ar_004,1427
2023,11030580,ho_ar_005,58
2023,11030580,ho_ar_006,242
2023,11030580,ho_ar_007,93
2023,11030580,ho_ar_008,87
2023,11030580,ho_ar_009,78
2023,11030590,ho_ar_001,187
2023,11030590,ho_ar_002,1273
2023,11030590,ho_ar_003,1006
2023,11030590,ho_ar_004,1079
2023,11030590,ho_ar_005,24
2023,11030590,ho_ar_006,484
2023,11030590,ho_ar_007,65
2023,11030590,ho_ar_008,51
2023,11030590,ho_ar_009,96
2023,11030630,ho_ar_001,N/A
2023,11030630,ho_ar_002,N/A
2023,11030630,ho_ar_003,1858
2023,11030630,ho_ar_004,1671
2023,11030630,ho_ar_005,223
2023,11030630,ho_ar_006,2771
2023,11030630,ho_ar_007,924
2023,11030630,ho_ar_008,1019
2023,11030630,ho_ar_009,87
2023,11030640,ho_ar_001,20
2023,11030640,ho_ar_002,132
2023,11030640,ho_ar_003,1530
2023,11030640,ho_ar_004,1169
2023,11030640,ho_ar_005,11
2023,11030640,ho_ar_006,285
2023,11030640,ho_ar_007,10
2023,11030640,ho_ar_008,15
2023,11030640,ho_ar_009,7
2023,11030650,ho_ar_001,44
2023,11030650,ho_ar_002,201
2023,11030650,ho_ar_003,224
2023,11030650,ho_ar_004,225
