기준년도,행정구역코드,통계항목,통계값
2023,11010530,ho_gb_002,571
2023,11010530,ho_gb_003,1520
2023,11010530,ho_gb_004,63
2023,11010530,ho_gb_001,370
2023,11010530,ho_gb_005,35
2023,11010540,ho_gb_002,569
2023,11010540,ho_gb_004,19
2023,11010540,ho_gb_001,37
2023,11010540,ho_gb_005,27
2023,11010550,ho_gb_002,924
2023,11010550,ho_gb_003,121
2023,11010550,ho_gb_004,906
2023,11010550,ho_gb_001,973
2023,11010550,ho_gb_005,36
2023,11010560,ho_gb_002,1496
2023,11010560,ho_gb_003,937
2023,11010560,ho_gb_004,2116
2023,11010560,ho_gb_001,913
2023,11010560,ho_gb_005,61
2023,11010570,ho_gb_002,47
2023,11010570,ho_gb_003,2673
2023,11010570,ho_gb_004,54
2023,11010570,ho_gb_001,38
2023,11010570,ho_gb_005,5
2023,11010580,ho_gb_002,234
2023,11010580,ho_gb_003,2426
2023,11010580,ho_gb_004,82
2023,11010580,ho_gb_001,946
2023,11010580,ho_gb_005,N/A
2023,11010600,ho_gb_002,598
2023,11010600,ho_gb_004,103
2023,11010600,ho_gb_001,634
2023,11010600,ho_gb_005,11
2023,11010610,ho_gb_002,460
2023,11010610,ho_gb_003,917
2023,11010610,ho_gb_004,27
2023,11010610,ho_gb_001,46
2023,11010610,ho_gb_005,73
2023,11010630,ho_gb_002,681
2023,11010630,ho_gb_003,464
2023,11010630,ho_gb_004,64
2023,11010630,ho_gb_001,122
2023,11010630,ho_gb_005,124
2023,11010640,ho_gb_002,632
2023,11010640,ho_gb_003,188
2023,11010640,ho_gb_004,257
2023,11010640,ho_gb_001,1382
2023,11010640,ho_gb_005,56
2023,11010670,ho_gb_002,456
2023,11010670,ho_gb_003,822
2023,11010670,ho_gb_004,72
2023,11010670,ho_gb_001,150
2023,11010670,ho_gb_005,32
2023,11010680,ho_gb_002,863
2023,11010680,ho_gb_003,327
2023,11010680,ho_gb_004,86
2023,11010680,ho_gb_001,1104
2023,11010680,ho_gb_005,46
2023,11010690,ho_gb_002,300
2023,11010690,ho_gb_003,1723
2023,11010690,ho_gb_004,32
2023,11010690,ho_gb_001,86
2023,11010690,ho_gb_005,8
2023,11010700,ho_gb_002,625
2023,11010700,ho_gb_003,654
2023,11010700,ho_gb_004,10
2023,11010700,ho_gb_001,284
2023,11010700,ho_gb_005,25
2023,11010710,ho_gb_002,377
2023,11010710,ho_gb_003,1715
2023,11010710,ho_gb_004,212
2023,11010710,ho_gb_001,943
2023,11010710,ho_gb_005,47
2023,11010720,ho_gb_002,1156
2023,11010720,ho_gb_003,222
2023,11010720,ho_gb_004,709
2023,11010720,ho_gb_001,1627
2023,11010720,ho_gb_005,53
2023,11010730,ho_gb_002,1388
2023,11010730,ho_gb_003,888
2023,11010730,ho_gb_004,427
2023,11010730,ho_gb_001,2265
2023,11010730,ho_gb_005,107
2023,11020520,ho_gb_002,15
2023,11020520,ho_gb_003,711
2023,11020520,ho_gb_005,11
2023,11020540,ho_gb_002,236
2023,11020540,ho_gb_003,1068
2023,11020540,ho_gb_004,26
2023,11020540,ho_gb_001,131
2023,11020540,ho_gb_005,33
2023,11020550,ho_gb_002,201
2023,11020550,ho_gb_003,249
2023,11020550,ho_gb_001,74
2023,11020550,ho_gb_005,46
2023,11020570,ho_gb_002,351
2023,11020570,ho_gb_003,387
2023,11020570,ho_gb_004,88
2023,11020570,ho_gb_001,277
2023,11020570,ho_gb_005,61
2023,11020580,ho_gb_002,376
2023,11020580,ho_gb_003,197
2023,11020580,ho_gb_004,259
2023,11020580,ho_gb_001,1567
2023,11020580,ho_gb_005,49
2023,11020590,ho_gb_002,420
2023,11020590,ho_gb_003,1715
2023,11020590,ho_gb_001,118
2023,11020590,ho_gb_005,38
2023,11020600,ho_gb_002,91
2023,11020600,ho_gb_003,1030
2023,11020600,ho_gb_001,6
2023,11020600,ho_gb_005,34
2023,11020650,ho_gb_002,597
2023,11020650,ho_gb_003,2277
2023,11020650,ho_gb_004,103
2023,11020650,ho_gb_001,333
2023,11020650,ho_gb_005,59
2023,11020670,ho_gb_002,551
2023,11020670,ho_gb_003,2704
2023,11020670,ho_gb_004,11
2023,11020670,ho_gb_001,370
2023,11020670,ho_gb_005,106
2023,11020680,ho_gb_002,243
2023,11020680,ho_gb_003,3346
2023,11020680,ho_gb_004,32
2023,11020680,ho_gb_001,478
2023,11020680,ho_gb_005,18
2023,11020690,ho_gb_002,955
2023,11020690,ho_gb_003,801
2023,11020690,ho_gb_004,50
2023,11020690,ho_gb_001,417
2023,11020690,ho_gb_005,87
2023,11020700,ho_gb_002,826
2023,11020700,ho_gb_003,499
2023,11020700,ho_gb_004,699
2023,11020700,ho_gb_001,2422
2023,11020700,ho_gb_005,75
2023,11020710,ho_gb_002,157
2023,11020710,ho_gb_003,5374
2023,11020710,ho_gb_004,342
2023,11020710,ho_gb_001,655
2023,11020710,ho_gb_005,15
2023,11020720,ho_gb_002,451
2023,11020720,ho_gb_003,3783
2023,11020720,ho_gb_004,115
2023,11020720,ho_gb_001,435
2023,11020720,ho_gb_005,49
2023,11020730,ho_gb_002,216
2023,11020730,ho_gb_003,2595
2023,11020730,ho_gb_004,110
2023,11020730,ho_gb_001,163
2023,11020730,ho_gb_005,55
2023,11030510,ho_gb_002,1383
2023,11030510,ho_gb_003,572
2023,11030510,ho_gb_004,544
2023,11030510,ho_gb_001,2696
2023,11030510,ho_gb_005,36
2023,11030520,ho_gb_002,1039
2023,11030520,ho_gb_003,325
2023,11030520,ho_gb_004,124
2023,11030520,ho_gb_001,1470
2023,11030520,ho_gb_005,34
2023,11030530,ho_gb_002,644
2023,11030530,ho_gb_003,423
2023,11030530,ho_gb_004,89
2023,11030530,ho_gb_001,476
2023,11030530,ho_gb_005,50
2023,11030570,ho_gb_002,475
2023,11030570,ho_gb_003,3147
2023,11030570,ho_gb_004,108
2023,11030570,ho_gb_001,1056
2023,11030570,ho_gb_005,19
2023,11030580,ho_gb_002,249
2023,11030580,ho_gb_003,1921
2023,11030580,ho_gb_004,237
2023,11030580,ho_gb_001,1438
2023,11030580,ho_gb_005,25
2023,11030590,ho_gb_002,421
2023,11030590,ho_gb_003,2236
2023,11030590,ho_gb_004,76
2023,11030590,ho_gb_001,1511
2023,11030590,ho_gb_005,21
2023,11030630,ho_gb_002,N/A
2023,11030630,ho_gb_003,8531
2023,11030630,ho_gb_004,17
2023,11030630,ho_gb_001,7
2023,11030640,ho_gb_002,59
2023,11030640,ho_gb_003,2682
2023,11030640,ho_gb_004,110
2023,11030640,ho_gb_001,321
2023,11030640,ho_gb_005,7
2023,11030650,ho_gb_002,729
2023,11030650,ho_gb_003,640
2023,11030650,ho_gb_004,188
2023,11030650,ho_gb_001,376
2023,11030650,ho_gb_005,41
2023,11030660,ho_gb_002,1038
2023,11030660,ho_gb_003,697
2023,11030660,ho_gb_004,182
2023,11030660,ho_gb_001,879
2023,11030660,ho_gb_005,33
2023,11030690,ho_gb_002,597
2023,11030690,ho_gb_003,2441
2023,11030690,ho_gb_004,217
2023,11030690,ho_gb_001,692
2023,11030690,ho_gb_005,6
2023,11030700,ho_gb_002,1926
2023,11030700,ho_gb_003,526
2023,11030700,ho_gb_004,69
2023,11030700,ho_gb_001,704
2023,11030700,ho_gb_005,34
2023,11030710,ho_gb_002,1792
2023,11030710,ho_gb_003,74
2023,11030710,ho_gb_004,455
2023,11030710,ho_gb_001,3729
2023,11030710,ho_gb_005,79
2023,11030720,ho_gb_002,522
2023,11030720,ho_gb_003,4038
2023,11030720,ho_gb_004,61
2023,11030720,ho_gb_001,1433
2023,11030720,ho_gb_005,54
2023,11030730,ho_gb_002,738
2023,11030730,ho_gb_003,5783
2023,11030730,ho_gb_004,158
2023,11030730,ho_gb_001,396
2023,11030730,ho_gb_005,50
2023,11030740,ho_gb_002,1433
2023,11030740,ho_gb_003,3062
2023,11030740,ho_gb_004,855
2023,11030740,ho_gb_001,1299
