기준년도,행정구역코드,통계항목,통계값
2023,11010530,to_ho_001,2559
2023,11010540,to_ho_001,652
2023,11010550,to_ho_001,2960
2023,11010560,to_ho_001,5523
2023,11010570,to_ho_001,2817
2023,11010580,to_ho_001,3690
2023,11010600,to_ho_001,1346
2023,11010610,to_ho_001,1523
2023,11010630,to_ho_001,1455
2023,11010640,to_ho_001,2515
2023,11010670,to_ho_001,1532
2023,11010680,to_ho_001,2426
2023,11010690,to_ho_001,2149
2023,11010700,to_ho_001,1598
2023,11010710,to_ho_001,3294
2023,11010720,to_ho_001,3767
2023,11010730,to_ho_001,5075
2023,11020520,to_ho_001,737
2023,11020540,to_ho_001,1494
2023,11020550,to_ho_001,570
2023,11020570,to_ho_001,1164
2023,11020580,to_ho_001,2448
2023,11020590,to_ho_001,2291
2023,11020600,to_ho_001,1161
2023,11020650,to_ho_001,3369
2023,11020670,to_ho_001,3742
2023,11020680,to_ho_001,4117
2023,11020690,to_ho_001,2310
2023,11020700,to_ho_001,4521
2023,11020710,to_ho_001,6543
2023,11020720,to_ho_001,4833
2023,11020730,to_ho_001,3139
2023,11030510,to_ho_001,5231
2023,11030520,to_ho_001,2992
2023,11030530,to_ho_001,1682
2023,11030570,to_ho_001,4805
2023,11030580,to_ho_001,3870
2023,11030590,to_ho_001,4265
2023,11030630,to_ho_001,8556
2023,11030640,to_ho_001,3179
2023,11030650,to_ho_001,1974
2023,11030660,to_ho_001,2829
2023,11030690,to_ho_001,3953
2023,11030700,to_ho_001,3259
2023,11030710,to_ho_001,6129
2023,11030720,to_ho_001,6108
2023,11030730,to_ho_001,7125
2023,11030740,to_ho_001,6718
2023,11040520,to_ho_001,5134
2023,11040540,to_ho_001,6571
2023,11040550,to_ho_001,3202
2023,11040560,to_ho_001,4518
2023,11040570,to_ho_001,8341
2023,11040580,to_ho_001,5219
2023,11040590,to_ho_001,5800
2023,11040620,to_ho_001,5171
2023,11040650,to_ho_001,4799
2023,11040660,to_ho_001,3432
2023,11040670,to_ho_001,4151
2023,11040680,to_ho_001,2874
2023,11040690,to_ho_001,2346
2023,11040700,to_ho_001,2409
2023,11040710,to_ho_001,8432
2023,11040720,to_ho_001,7309
2023,11040730,to_ho_001,9514
2023,11050530,to_ho_001,5635
2023,11050540,to_ho_001,4562
2023,11050550,to_ho_001,4081
2023,11050560,to_ho_001,5125
2023,11050570,to_ho_001,4149
2023,11050580,to_ho_001,7528
2023,11050590,to_ho_001,2637
2023,11050600,to_ho_001,6190
2023,11050610,to_ho_001,7549
2023,11050620,to_ho_001,8958
2023,11050630,to_ho_001,10155
2023,11050640,to_ho_001,5709
2023,11050650,to_ho_001,7109
2023,11050660,to_ho_001,8467
2023,11050670,to_ho_001,6130
2023,11060710,to_ho_001,3298
2023,11060720,to_ho_001,4557
2023,11060730,to_ho_001,7590
2023,11060800,to_ho_001,5798
2023,11060810,to_ho_001,11683
