기준연도,격자코드,통계항목,통계값
2023,11010530,cp_bnu_001,N/A
2023,11010530,cp_bnu_003,107
2023,11010530,cp_bnu_004,8
2023,11010530,cp_bnu_005,N/A
2023,11010530,cp_bnu_006,61
2023,11010530,cp_bnu_007,756
2023,11010530,cp_bnu_008,256
2023,11010530,cp_bnu_009,927
2023,11010530,cp_bnu_010,367
2023,11010530,cp_bnu_011,296
2023,11010530,cp_bnu_012,335
2023,11010530,cp_bnu_013,637
2023,11010530,cp_bnu_014,392
2023,11010530,cp_bnu_015,22
2023,11010530,cp_bnu_016,122
2023,11010530,cp_bnu_017,134
2023,11010530,cp_bnu_018,124
2023,11010530,cp_bnu_019,308
2023,11010540,cp_bnu_003,31
2023,11010540,cp_bnu_006,14
2023,11010540,cp_bnu_007,322
2023,11010540,cp_bnu_008,9
2023,11010540,cp_bnu_009,252
2023,11010540,cp_bnu_010,36
2023,11010540,cp_bnu_011,12
2023,11010540,cp_bnu_012,71
2023,11010540,cp_bnu_013,85
2023,11010540,cp_bnu_014,36
2023,11010540,cp_bnu_015,N/A
2023,11010540,cp_bnu_016,25
2023,11010540,cp_bnu_017,12
2023,11010540,cp_bnu_018,32
2023,11010540,cp_bnu_019,52
2023,11010550,cp_bnu_003,41
2023,11010550,cp_bnu_006,36
2023,11010550,cp_bnu_007,234
2023,11010550,cp_bnu_008,9
2023,11010550,cp_bnu_009,129
2023,11010550,cp_bnu_010,69
2023,11010550,cp_bnu_011,N/A
2023,11010550,cp_bnu_012,52
2023,11010550,cp_bnu_013,91
2023,11010550,cp_bnu_014,21
2023,11010550,cp_bnu_015,N/A
2023,11010550,cp_bnu_016,55
2023,11010550,cp_bnu_017,29
2023,11010550,cp_bnu_018,40
2023,11010550,cp_bnu_019,82
2023,11010560,cp_bnu_002,N/A
2023,11010560,cp_bnu_003,34
2023,11010560,cp_bnu_005,N/A
2023,11010560,cp_bnu_006,43
2023,11010560,cp_bnu_007,380
2023,11010560,cp_bnu_008,23
2023,11010560,cp_bnu_009,131
2023,11010560,cp_bnu_010,108
2023,11010560,cp_bnu_011,12
2023,11010560,cp_bnu_012,102
2023,11010560,cp_bnu_013,119
2023,11010560,cp_bnu_014,24
2023,11010560,cp_bnu_015,N/A
2023,11010560,cp_bnu_016,65
2023,11010560,cp_bnu_017,46
2023,11010560,cp_bnu_018,82
2023,11010560,cp_bnu_019,126
2023,11010570,cp_bnu_003,6
2023,11010570,cp_bnu_006,18
2023,11010570,cp_bnu_007,100
2023,11010570,cp_bnu_008,10
2023,11010570,cp_bnu_009,37
2023,11010570,cp_bnu_010,16
2023,11010570,cp_bnu_011,N/A
2023,11010570,cp_bnu_012,24
2023,11010570,cp_bnu_013,28
2023,11010570,cp_bnu_014,12
2023,11010570,cp_bnu_015,N/A
2023,11010570,cp_bnu_016,32
2023,11010570,cp_bnu_017,13
2023,11010570,cp_bnu_018,13
