기준연도,격자코드,통계항목,통계값
2023,11010530,cp_bem_001,16
2023,11010530,cp_bem_003,311
2023,11010530,cp_bem_004,18
2023,11010530,cp_bem_005,17
2023,11010530,cp_bem_006,538
2023,11010530,cp_bem_007,4097
2023,11010530,cp_bem_008,2874
2023,11010530,cp_bem_009,4152
2023,11010530,cp_bem_010,3312
2023,11010530,cp_bem_011,7089
2023,11010530,cp_bem_012,3566
2023,11010530,cp_bem_013,10029
2023,11010530,cp_bem_014,9125
2023,11010530,cp_bem_015,7533
2023,11010530,cp_bem_016,885
2023,11010530,cp_bem_017,1169
2023,11010530,cp_bem_018,1593
2023,11010530,cp_bem_019,995
2023,11010540,cp_bem_003,97
2023,11010540,cp_bem_006,38
2023,11010540,cp_bem_007,821
2023,11010540,cp_bem_008,64
2023,11010540,cp_bem_009,940
2023,11010540,cp_bem_010,107
2023,11010540,cp_bem_011,75
2023,11010540,cp_bem_012,144
2023,11010540,cp_bem_013,480
2023,11010540,cp_bem_014,118
2023,11010540,cp_bem_015,1256
2023,11010540,cp_bem_016,284
2023,11010540,cp_bem_017,55
2023,11010540,cp_bem_018,290
2023,11010540,cp_bem_019,299
2023,11010550,cp_bem_003,91
2023,11010550,cp_bem_006,75
2023,11010550,cp_bem_007,519
2023,11010550,cp_bem_008,12
2023,11010550,cp_bem_009,359
2023,11010550,cp_bem_010,148
2023,11010550,cp_bem_011,14
2023,11010550,cp_bem_012,78
2023,11010550,cp_bem_013,185
2023,11010550,cp_bem_014,50
2023,11010550,cp_bem_015,54
2023,11010550,cp_bem_016,1096
2023,11010550,cp_bem_017,198
2023,11010550,cp_bem_018,71
2023,11010550,cp_bem_019,1009
2023,11010560,cp_bem_002,6
2023,11010560,cp_bem_003,160
2023,11010560,cp_bem_005,N/A
2023,11010560,cp_bem_006,157
2023,11010560,cp_bem_007,846
2023,11010560,cp_bem_008,83
2023,11010560,cp_bem_009,453
2023,11010560,cp_bem_010,202
2023,11010560,cp_bem_011,59
2023,11010560,cp_bem_012,186
2023,11010560,cp_bem_013,238
2023,11010560,cp_bem_014,128
2023,11010560,cp_bem_015,100
2023,11010560,cp_bem_016,635
2023,11010560,cp_bem_017,534
2023,11010560,cp_bem_018,215
2023,11010560,cp_bem_019,243
2023,11010570,cp_bem_003,6
2023,11010570,cp_bem_006,65
2023,11010570,cp_bem_007,149
2023,11010570,cp_bem_008,10
2023,11010570,cp_bem_009,102
2023,11010570,cp_bem_010,17
2023,11010570,cp_bem_011,16
2023,11010570,cp_bem_012,69
2023,11010570,cp_bem_013,29
2023,11010570,cp_bem_014,21
2023,11010570,cp_bem_015,19
2023,11010570,cp_bem_016,136
2023,11010570,cp_bem_017,587
2023,11010570,cp_bem_018,27
2023,11010570,cp_bem_019,171
2023,11010580,cp_bem_003,15
2023,11010580,cp_bem_004,N/A
2023,11010580,cp_bem_006,530
2023,11010580,cp_bem_007,590
2023,11010580,cp_bem_008,60
2023,11010580,cp_bem_009,459
2023,11010580,cp_bem_010,55
2023,11010580,cp_bem_011,105
2023,11010580,cp_bem_012,132
2023,11010580,cp_bem_013,204
2023,11010580,cp_bem_014,18
2023,11010580,cp_bem_015,39
2023,11010580,cp_bem_016,231
2023,11010580,cp_bem_017,4390
2023,11010580,cp_bem_018,67
2023,11010580,cp_bem_019,157
2023,11010600,cp_bem_003,304
2023,11010600,cp_bem_006,2809
2023,11010600,cp_bem_007,503
2023,11010600,cp_bem_008,10
2023,11010600,cp_bem_009,1134
2023,11010600,cp_bem_010,1384
2023,11010600,cp_bem_011,357
2023,11010600,cp_bem_012,110
2023,11010600,cp_bem_013,489
2023,11010600,cp_bem_014,153
2023,11010600,cp_bem_015,487
2023,11010600,cp_bem_016,782
2023,11010600,cp_bem_017,79
2023,11010600,cp_bem_018,154
2023,11010600,cp_bem_019,209
2023,11010610,cp_bem_001,N/A
2023,11010610,cp_bem_002,65
2023,11010610,cp_bem_003,4550
2023,11010610,cp_bem_004,713
2023,11010610,cp_bem_005,18
2023,11010610,cp_bem_006,5246
2023,11010610,cp_bem_007,18315
2023,11010610,cp_bem_008,5097
2023,11010610,cp_bem_009,10113
2023,11010610,cp_bem_010,9377
2023,11010610,cp_bem_011,13962
2023,11010610,cp_bem_012,3159
2023,11010610,cp_bem_013,16454
2023,11010610,cp_bem_014,10619
2023,11010610,cp_bem_015,5110
2023,11010610,cp_bem_016,3475
2023,11010610,cp_bem_017,2125
2023,11010610,cp_bem_018,1140
2023,11010610,cp_bem_019,2412
2023,11010630,cp_bem_003,2397
2023,11010630,cp_bem_004,N/A
2023,11010630,cp_bem_006,489
2023,11010630,cp_bem_007,8915
2023,11010630,cp_bem_008,335
2023,11010630,cp_bem_009,1636
2023,11010630,cp_bem_010,1565
2023,11010630,cp_bem_011,1506
2023,11010630,cp_bem_012,638
2023,11010630,cp_bem_013,1323
2023,11010630,cp_bem_014,357
2023,11010630,cp_bem_015,327
2023,11010630,cp_bem_016,141
2023,11010630,cp_bem_017,487
2023,11010630,cp_bem_018,127
2023,11010630,cp_bem_019,665
2023,11010640,cp_bem_001,N/A
2023,11010640,cp_bem_003,440
2023,11010640,cp_bem_004,N/A
2023,11010640,cp_bem_006,84
2023,11010640,cp_bem_007,1194
2023,11010640,cp_bem_008,81
2023,11010640,cp_bem_009,1611
2023,11010640,cp_bem_010,778
2023,11010640,cp_bem_011,79
2023,11010640,cp_bem_012,272
2023,11010640,cp_bem_013,767
2023,11010640,cp_bem_014,143
2023,11010640,cp_bem_015,76
2023,11010640,cp_bem_016,2103
2023,11010640,cp_bem_017,8871
2023,11010640,cp_bem_018,1494
2023,11010640,cp_bem_019,518
2023,11010670,cp_bem_003,593
2023,11010670,cp_bem_005,N/A
2023,11010670,cp_bem_006,40
2023,11010670,cp_bem_007,2044
2023,11010670,cp_bem_008,89
2023,11010670,cp_bem_009,610
2023,11010670,cp_bem_010,40
2023,11010670,cp_bem_011,477
2023,11010670,cp_bem_012,225
2023,11010670,cp_bem_013,70
2023,11010670,cp_bem_014,98
2023,11010670,cp_bem_015,20
2023,11010670,cp_bem_016,80
2023,11010670,cp_bem_017,472
2023,11010670,cp_bem_018,94
2023,11010670,cp_bem_019,256
2023,11010680,cp_bem_003,837
2023,11010680,cp_bem_006,30
2023,11010680,cp_bem_007,234
