기준연도,격자코드,통계항목,통계값
2023,11010530,to_em_020,57319
2023,11010540,to_em_020,5068
2023,11010550,to_em_020,3959
2023,11010560,to_em_020,4246
2023,11010570,to_em_020,1424
2023,11010580,to_em_020,7053
2023,11010600,to_em_020,8964
2023,11010610,to_em_020,111951
2023,11010630,to_em_020,20911
2023,11010640,to_em_020,18513
2023,11010670,to_em_020,5212
2023,11010680,to_em_020,1921
2023,11010690,to_em_020,1152
2023,11010700,to_em_020,1892
2023,11010710,to_em_020,5611
2023,11010720,to_em_020,5330
2023,11010730,to_em_020,8696
2023,11020520,to_em_020,68391
2023,11020540,to_em_020,48793
2023,11020550,to_em_020,140423
2023,11020570,to_em_020,26509
2023,11020580,to_em_020,7456
2023,11020590,to_em_020,33150
2023,11020600,to_em_020,31160
2023,11020650,to_em_020,4180
2023,11020670,to_em_020,5479
2023,11020680,to_em_020,7672
2023,11020690,to_em_020,22759
2023,11020700,to_em_020,8772
2023,11020710,to_em_020,4279
2023,11020720,to_em_020,4672
2023,11020730,to_em_020,4177
2023,11030510,to_em_020,4775
2023,11030520,to_em_020,2067
2023,11030530,to_em_020,18878
2023,11030570,to_em_020,5282
2023,11030580,to_em_020,2158
2023,11030590,to_em_020,2096
2023,11030630,to_em_020,4075
2023,11030640,to_em_020,1085
2023,11030650,to_em_020,7749
2023,11030660,to_em_020,3032
2023,11030690,to_em_020,4650
2023,11030700,to_em_020,1821
2023,11030710,to_em_020,10412
2023,11030720,to_em_020,9884
2023,11030730,to_em_020,53052
2023,11030740,to_em_020,21222
2023,11040520,to_em_020,2409
2023,11040540,to_em_020,12105
2023,11040550,to_em_020,11029
2023,11040560,to_em_020,9568
2023,11040570,to_em_020,2131
2023,11040580,to_em_020,1006
2023,11040590,to_em_020,2109
2023,11040620,to_em_020,2271
2023,11040650,to_em_020,15977
2023,11040660,to_em_020,28072
2023,11040670,to_em_020,17452
2023,11040680,to_em_020,62482
2023,11040690,to_em_020,2756
2023,11040700,to_em_020,11442
2023,11040710,to_em_020,10293
2023,11040720,to_em_020,2969
2023,11040730,to_em_020,4729
2023,11050530,to_em_020,16150
2023,11050540,to_em_020,9773
2023,11050550,to_em_020,6454
2023,11050560,to_em_020,7667
2023,11050570,to_em_020,5696
2023,11050580,to_em_020,4421
2023,11050590,to_em_020,6811
2023,11050600,to_em_020,6825
2023,11050610,to_em_020,5372
2023,11050620,to_em_020,15629
2023,11050630,to_em_020,12054
2023,11050640,to_em_020,10177
2023,11050650,to_em_020,5573
2023,11050660,to_em_020,7030
2023,11050670,to_em_020,5834
2023,11060710,to_em_020,11644
2023,11060720,to_em_020,4043
2023,11060730,to_em_020,5215
2023,11060800,to_em_020,7852
2023,11060810,to_em_020,28958
2023,11060820,to_em_020,11403
2023,11060830,to_em_020,7609
2023,11060840,to_em_020,4972
2023,11060860,to_em_020,8740
2023,11060870,to_em_020,22014
2023,11060880,to_em_020,11387
2023,11060890,to_em_020,6706
2023,11060900,to_em_020,2188
2023,11060910,to_em_020,9453
2023,11070520,to_em_020,5735
2023,11070540,to_em_020,5016
2023,11070550,to_em_020,3117
2023,11070570,to_em_020,4536
2023,11070590,to_em_020,6508
2023,11070600,to_em_020,9495
2023,11070610,to_em_020,3586
2023,11070620,to_em_020,6025
2023,11070640,to_em_020,6227
2023,11070650,to_em_020,4536
2023,11070680,to_em_020,3717
2023,11070690,to_em_020,15285
2023,11070700,to_em_020,6553
2023,11070710,to_em_020,7104
2023,11070720,to_em_020,7438
2023,11070730,to_em_020,12164
2023,11080580,to_em_020,2164
2023,11080590,to_em_020,2852
2023,11080600,to_em_020,14041
2023,11080610,to_em_020,5597
2023,11080620,to_em_020,2333
2023,11080630,to_em_020,3403
2023,11080640,to_em_020,5881
2023,11080650,to_em_020,5112
2023,11080660,to_em_020,4178
2023,11080680,to_em_020,5598
2023,11080710,to_em_020,5543
2023,11080720,to_em_020,10384
2023,11080760,to_em_020,3227
2023,11080770,to_em_020,3532
2023,11080780,to_em_020,2000
2023,11080810,to_em_020,7480
2023,11080820,to_em_020,10727
2023,11080830,to_em_020,10928
2023,11080840,to_em_020,8511
2023,11080850,to_em_020,9303
2023,11090600,to_em_020,9154
2023,11090610,to_em_020,3306
2023,11090620,to_em_020,2933
2023,11090630,to_em_020,5823
2023,11090640,to_em_020,4118
2023,11090650,to_em_020,8885
2023,11090690,to_em_020,3522
2023,11090700,to_em_020,6790
2023,11090710,to_em_020,8670
2023,11090720,to_em_020,6849
2023,11090730,to_em_020,3210
2023,11090740,to_em_020,5267
2023,11090750,to_em_020,6251
2023,11100510,to_em_020,4217
2023,11100520,to_em_020,4733
2023,11100530,to_em_020,4645
2023,11100540,to_em_020,1992
2023,11100550,to_em_020,13212
2023,11100560,to_em_020,3233
2023,11100570,to_em_020,2995
2023,11100590,to_em_020,3287
2023,11100600,to_em_020,4298
2023,11100610,to_em_020,2107
2023,11100620,to_em_020,8554
2023,11100630,to_em_020,7116
2023,11100640,to_em_020,7132
2023,11100650,to_em_020,7747
2023,11110510,to_em_020,6394
2023,11110520,to_em_020,3696
2023,11110530,to_em_020,4438
2023,11110560,to_em_020,12302
2023,11110580,to_em_020,8724
2023,11110590,to_em_020,1545
2023,11110600,to_em_020,6001
2023,11110610,to_em_020,4220
2023,11110640,to_em_020,4143
2023,11110650,to_em_020,9184
2023,11110660,to_em_020,10794
2023,11110690,to_em_020,5867
2023,11110720,to_em_020,2054
2023,11110730,to_em_020,2626
2023,11110740,to_em_020,2382
2023,11110760,to_em_020,5383
2023,11110770,to_em_020,15738
2023,11110780,to_em_020,5458
2023,11110790,to_em_020,13451
2023,11120510,to_em_020,10719
2023,11120520,to_em_020,6853
2023,11120550,to_em_020,4635
2023,11120560,to_em_020,6370
2023,11120570,to_em_020,6221
2023,11120580,to_em_020,7897
2023,11120590,to_em_020,8179
2023,11120600,to_em_020,2969
2023,11120650,to_em_020,5376
2023,11120660,to_em_020,3442
2023,11120670,to_em_020,4121
2023,11120680,to_em_020,2820
2023,11120710,to_em_020,13796
2023,11120720,to_em_020,4616
2023,11120730,to_em_020,5664
2023,11120740,to_em_020,8363
2023,11130520,to_em_020,3110
2023,11130620,to_em_020,4828
2023,11130640,to_em_020,4003
2023,11130650,to_em_020,1994
2023,11130660,to_em_020,2738
2023,11130680,to_em_020,6424
2023,11130690,to_em_020,2825
2023,11130700,to_em_020,5530
2023,11130710,to_em_020,3269
2023,11130720,to_em_020,4951
2023,11130730,to_em_020,23250
2023,11130740,to_em_020,2760
2023,11130750,to_em_020,36521
2023,11130760,to_em_020,12974
2023,11140590,to_em_020,18811
2023,11140600,to_em_020,9443
2023,11140610,to_em_020,5196
2023,11140630,to_em_020,6817
2023,11140660,to_em_020,65165
2023,11140680,to_em_020,14003
2023,11140690,to_em_020,6576
2023,11140700,to_em_020,4873
2023,11140710,to_em_020,9158
2023,11140720,to_em_020,13021
2023,11140730,to_em_020,12736
2023,11140740,to_em_020,48844
2023,11140750,to_em_020,20594
2023,11140760,to_em_020,10953
2023,11140770,to_em_020,20775
2023,11140780,to_em_020,14420
2023,11150510,to_em_020,22047
2023,11150520,to_em_020,5053
2023,11150530,to_em_020,4993
2023,11150540,to_em_020,4587
2023,11150570,to_em_020,4824
2023,11150580,to_em_020,4424
2023,11150590,to_em_020,5029
2023,11150600,to_em_020,3339
2023,11150610,to_em_020,3740
2023,11150620,to_em_020,2854
2023,11150630,to_em_020,5395
2023,11150640,to_em_020,5868
2023,11150650,to_em_020,4036
2023,11150660,to_em_020,8930
2023,11150690,to_em_020,6671
2023,11150700,to_em_020,7130
2023,11150710,to_em_020,10499
2023,11150720,to_em_020,16820
2023,11160510,to_em_020,16080
2023,11160520,to_em_020,19441
2023,11160530,to_em_020,3858
2023,11160540,to_em_020,22632
2023,11160550,to_em_020,4602
2023,11160570,to_em_020,2582
2023,11160580,to_em_020,4628
2023,11160590,to_em_020,4053
2023,11160610,to_em_020,13049
2023,11160630,to_em_020,3613
2023,11160650,to_em_020,3368
2023,11160660,to_em_020,7209
2023,11160670,to_em_020,35989
2023,11160690,to_em_020,34584
2023,11160700,to_em_020,12672
2023,11160710,to_em_020,11494
2023,11160730,to_em_020,10246
2023,11160740,to_em_020,7141
2023,11160751,to_em_020,77853
2023,11160761,to_em_020,4612
2023,11170510,to_em_020,17291
2023,11170520,to_em_020,2888
2023,11170540,to_em_020,90351
2023,11170550,to_em_020,6628
2023,11170560,to_em_020,24272
2023,11170610,to_em_020,10524
2023,11170620,to_em_020,4489
2023,11170640,to_em_020,3818
2023,11170650,to_em_020,8404
2023,11170670,to_em_020,5032
2023,11170690,to_em_020,5938
2023,11170700,to_em_020,3895
2023,11170710,to_em_020,29446
2023,11170720,to_em_020,5687
2023,11170730,to_em_020,7863
2023,11170740,to_em_020,3866
2023,11180510,to_em_020,183549
2023,11180520,to_em_020,24359
2023,11180530,to_em_020,3556
2023,11180540,to_em_020,6229
2023,11180550,to_em_020,2856
2023,11180570,to_em_020,15999
2023,11180580,to_em_020,2379
2023,11180590,to_em_020,8821
2023,11180600,to_em_020,1940
2023,11180610,to_em_020,3650
2023,11190540,to_em_020,185171
2023,11190550,to_em_020,27681
2023,11190560,to_em_020,28858
2023,11190610,to_em_020,24405
2023,11190620,to_em_020,22988
2023,11190630,to_em_020,4321
2023,11190650,to_em_020,2808
2023,11190660,to_em_020,1371
2023,11190670,to_em_020,1939
2023,11190680,to_em_020,4565
2023,11190690,to_em_020,3141
2023,11190700,to_em_020,5072
2023,11190710,to_em_020,4649
2023,11190720,to_em_020,8768
2023,11190730,to_em_020,4961
2023,11190740,to_em_020,45833
2023,11190750,to_em_020,3140
2023,11190760,to_em_020,50398
2023,11200520,to_em_020,6801
2023,11200530,to_em_020,9253
2023,11200540,to_em_020,5159
2023,11200550,to_em_020,3441
2023,11200560,to_em_020,3282
2023,11200630,to_em_020,10847
2023,11200650,to_em_020,4734
