가해운전자차종,시간대,사고건수,사망자수,부상자수
승용차,00:00:00~02:00:00,4574,83,6748
승용차,02:00:00~04:00:00,2498,61,3587
승용차,04:00:00~06:00:00,3054,98,4146
승용차,06:00:00~08:00:00,7472,112,10123
승용차,08:00:00~10:00:00,14349,89,20381
승용차,10:00:00~12:00:00,13262,88,19661
승용차,12:00:00~14:00:00,14333,89,21656
승용차,14:00:00~16:00:00,14935,103,22930
승용차,16:00:00~18:00:00,18000,124,26317
승용차,18:00:00~20:00:00,18630,139,26017
승용차,20:00:00~22:00:00,11894,117,16936
승용차,22:00:00~24:00:00,7773,99,11290
승합차,00:00:00~02:00:00,120,4,173
승합차,02:00:00~04:00:00,62,4,121
승합차,04:00:00~06:00:00,218,14,346
승합차,06:00:00~08:00:00,880,20,1437
승합차,08:00:00~10:00:00,1509,8,2255
승합차,10:00:00~12:00:00,1263,17,1950
승합차,12:00:00~14:00:00,1348,5,1955
승합차,14:00:00~16:00:00,1626,8,2369
승합차,16:00:00~18:00:00,1948,14,2871
승합차,18:00:00~20:00:00,1701,15,2336
승합차,20:00:00~22:00:00,956,11,1411
승합차,22:00:00~24:00:00,515,9,687
화물차,00:00:00~02:00:00,426,18,604
화물차,02:00:00~04:00:00,291,22,380
화물차,04:00:00~06:00:00,740,50,954
화물차,06:00:00~08:00:00,2093,61,2718
화물차,08:00:00~10:00:00,3380,66,4662
화물차,10:00:00~12:00:00,3399,59,4886
화물차,12:00:00~14:00:00,3129,72,4549
화물차,14:00:00~16:00:00,3341,71,4910
화물차,16:00:00~18:00:00,3470,63,5092
화물차,18:00:00~20:00:00,2415,43,3381
화물차,20:00:00~22:00:00,1142,41,1645
화물차,22:00:00~24:00:00,638,28,947
특수차,00:00:00~02:00:00,21,3,24
특수차,02:00:00~04:00:00,20,2,27
특수차,04:00:00~06:00:00,46,3,58
특수차,06:00:00~08:00:00,121,4,166
특수차,08:00:00~10:00:00,167,2,213
특수차,10:00:00~12:00:00,174,1,271
특수차,12:00:00~14:00:00,168,2,256
특수차,14:00:00~16:00:00,160,5,337
특수차,16:00:00~18:00:00,151,2,255
특수차,18:00:00~20:00:00,90,2,135
특수차,20:00:00~22:00:00,51,1,77
특수차,22:00:00~24:00:00,32,2,41
"이륜차(원동기,사륜ATV포함)",00:00:00~02:00:00,646,29,855
"이륜차(원동기,사륜ATV포함)",02:00:00~04:00:00,353,23,445
"이륜차(원동기,사륜ATV포함)",04:00:00~06:00:00,339,16,423
"이륜차(원동기,사륜ATV포함)",06:00:00~08:00:00,493,21,590
"이륜차(원동기,사륜ATV포함)",08:00:00~10:00:00,935,25,1164
"이륜차(원동기,사륜ATV포함)",10:00:00~12:00:00,1385,42,1773
"이륜차(원동기,사륜ATV포함)",12:00:00~14:00:00,1753,35,2316
"이륜차(원동기,사륜ATV포함)",14:00:00~16:00:00,1688,33,2186
"이륜차(원동기,사륜ATV포함)",16:00:00~18:00:00,2019,44,2571
"이륜차(원동기,사륜ATV포함)",18:00:00~20:00:00,2631,42,3454
"이륜차(원동기,사륜ATV포함)",20:00:00~22:00:00,1914,28,2548
"이륜차(원동기,사륜ATV포함)",22:00:00~24:00:00,1134,23,1522
자전거,00:00:00~02:00:00,62,0,70
자전거,02:00:00~04:00:00,39,2,43
자전거,04:00:00~06:00:00,80,2,86
자전거,06:00:00~08:00:00,341,4,375
